group	Veillonellales	Coriobacteriales	Peptostreptococcales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales
Healthy	0	0.24373	0		65.94451	2.9794	0	10.5195	0.11483	0	0.03085	0.24373	0.86272	0
Healthy	0	0.63218	0		77.56292	4.23484	0	0	0	0.09708	0.30044	0.63218	0.06803	0
Healthy	1.49325	0.4326	1.16392		22.77193	13.98492	3.85851	0	0.0586	0	0.86835	0.4326	0	1.16392
Healthy	0	2.46417	0		10.42839	22.45504	0.00058	6.51919	0.09116	0	2.20829	2.46417	0	0
Healthy	0.05609	0.18648	0.28618		44.35637	25.21853	1.02549	0.00699	1.77066	1.82276	0.12104	0.18648	1.22966	0.28618
Healthy	0	0.33473	0.05986		50.42891	29.12875	0.19515	0	0.1002	0	0	0.33473	0	0.05986
Healthy	0	0	0		57.9843	20.95243	0.81232	0	0	0	1.80524	0	3.19845	0
Healthy	0	3.76394	0		19.00735	38.42361	0.0911	0	0.16065	3.06148	0.05851	3.76394	0	0
Healthy	6.5513	0.03904	0.01366		0	35.15934	4.14218	0	0.00158	0	0.07394	0.03904	0	0.01366
Healthy	1.21693	0.13451	0.17413		22.0643	22.27209	0.92321	0	1.67502	0	0.06035	0.13451	0	0.17413
Healthy	2.97255	0.7137	0		45.26359	0.65685	0.34649	0.13239	0.01275	0	0.49025	0.7137	0.06831	0
Healthy	2.40822	2.27129	0		18.16766	6.95679	2.71161	0	0	0	4.10863	2.27129	2.97004	0
Healthy	0.05662	0.11806	0		63.72663	10.2726	0.07952	0	0	0	0	0.11806	0	0
Healthy	12.9858	1.0791	0		31.15761	6.52439	0.08088	0.03307	0.0234	0	0.02407	1.0791	0	0
Healthy	4.61753	4.33288	0.25		21.40224	17.31738	0.16148	0	0.08772	0	4.8168	4.33288	0	0.25
Healthy	2.60171	1.34897	0		13.2891	0.38881	10.2181	43.9894	0.28406	0	0.13551	1.34897	0	0
Healthy	0	0.28366	0		65.75268	3.13409	0	10.41	0.09557	0	0.0128	0.28366	0.80514	0
Healthy	5.94604	0.83394	0		46.11877	8.78889	0.06381	0.10078	2.51045	0	0.40667	0.83394	0	0
Healthy	5.89113	0.00233	0		70.63059	1.4222	0.06157	0	0.11666	0	0.02247	0.00233	0	0
Healthy	17.72904	0.70893	0.00258		44.41535	4.3198	0	7.09147	0.27735	0	0.17455	0.70893	0	0.00258
Healthy	0.00465	0.05945	0		36.30805	38.69933	0.0175	0	0.00491	0.02465	5.19517	0.05945	0	0
Healthy	5.0839	1.71217	0.92052		18.17723	24.09166	0	0	0	0	0	1.71217	0	0.92052
Healthy	0	0	0		42.50091	37.42848	0	0	0	0	1.95468	0	2.18475	0
Healthy	0.01411	0.23525	0		63.68496	14.87514	0	0	0.17416	0	0.04651	0.23525	0	0
Healthy	0	0	0		92.81289	0.64545	4.2841	0.55019	0	0	0	0	0	0
Healthy	1.21706	0.12868	0		49.73983	20.44622	0.01667	0.38836	2.54517	0	0.14758	0.12868	0.00113	0
Healthy	1.15201	0	0		51.54426	11.94382	0.47737	0	2.10393	0	0	0	0	0
Healthy	0	0	0		71.0787	2.68635	2.0968	0	0.34626	0	0	0	0	0
Healthy	5.62249	0	0		26.51604	32.47023	0	0	0	0	0	0	0	0
Healthy	0.00396	0.16698	0		14.1769	51.48479	0.09698	0.09373	0.63021	0.18576	1.34631	0.16698	1.31009	0
Healthy	0.46112	0.253	0		58.04866	4.28305	0.02507	8.71159	0.51464	0	0	0.253	0	0
Healthy	0	1.54102	0		22.14347	38.09029	1.49435	0	0	0.11191	0	1.54102	1.07483	0
Healthy	0	1.31584	0		0.35748	6.73804	0	0	0	0	0	1.31584	0	0
Healthy	0	0	0		80.38068	12.91336	0	0	0	0	0.53907	0	0	0
Healthy	0	3.69281	0		20.33218	21.6924	0	19.023	0.00056	0	0.1903	3.69281	0	0
Healthy	0.03501	0.0026	0.23549		28.87276	0.0105	55.0788	0.00039	0	0	0	0.0026	0	0.23549
Healthy	0	0.78351	0		38.75978	14.063	0.57325	11.9695	0	0	1.18442	0.78351	0.01608	0
Healthy	0.46493	0.4209	4.42379		29.53286	41.68406	0.91179	2.81759	0.06954	0.20726	1.65472	0.4209	0	4.42379
Healthy	0	0.00433	0		33.23081	11.91339	33.3132	0	0	0	0.73283	0.00433	0	0
Healthy	0	0	0		41.87328	26.02128	5.37164	0.49181	0	2.44739	1.85933	0	0	0
Healthy	0	0.64273	0		69.54234	3.89694	0	0	2.99685	0.00825	0.17372	0.64273	0	0
Healthy	0.38925	0	0		28.72289	57.26534	0.09139	0	0.03267	0.21268	0	0	0	0
Healthy	11.06571	0	0		65.70584	2.30841	1.15581	0	0	0	0	0	0	0
Healthy	0.21678	0.47668	0		7.75441	64.4011	0.05193	0	0	0	0.02408	0.47668	0.00015	0
Healthy	0.01516	1.11166	0.20169		25.16801	11.56562	26.87573	0.00032	0	0	0.04376	1.11166	0	0.20169
Healthy	0	0.1628	0		75.927	1.72941	0	3.84496	0.7445	0	0.00174	0.1628	0	0
Healthy	0.13564	0.59299	0.1088		27.96087	46.51861	0.76155	0.79342	0.06486	0	0.00415	0.59299	0	0.1088
Healthy	0	0.22282	0		66.09812	3.10588	0	10.3809	0.11834	0	0.00808	0.22282	0.87857	0
Healthy	0.2242	1.03937	0.07247		25.51014	25.5392	2.10237	0	0.20459	0.79834	0.13303	1.03937	0	0.07247
Healthy	0	1.79807	0		18.16758	12.06107	0	0	0	0	0	1.79807	0	0
Healthy	0	0.03568	0		78.57875	0.68422	0.09832	0	0.0657	0	0.03735	0.03568	0	0
Healthy	0	0.12192	0		64.93079	18.72938	0	0	1.07337	0	0.06825	0.12192	0	0
Healthy	0.22665	0.65339	0.0581		39.03604	5.48461	9.39904	0.3477	0.21451	0.07517	0.8809	0.65339	0	0.0581
Healthy	3.58941	0.13178	0		88.7654	1.21892	0.38656	0	0.11966	0	0.02311	0.13178	0	0
Healthy	0	0	0		79.91048	11.90134	2.90482	0	0.07877	0	0.01034	0	0	0
Healthy	0.38466	0.1822	0		64.14272	6.58367	0.13452	0	1.39314	0.17643	0.02486	0.1822	0	0
Healthy	2.03817	0.0593	0.00271		38.36526	3.07898	5.3394	1.4567	0.03034	3.08044	0.51579	0.0593	0	0.00271
Healthy	0	0.1128	0		80.84169	1.71238	0.00402	3.57301	0.70225	0	0	0.1128	0	0
Healthy	0.01218	0.29588	0.08429		25.1195	13.19326	0.00781	0.69873	0.88008	0	1.03495	0.29588	22.5247	0.08429
Healthy	0	0.03785	0.08412		55.82578	23.45088	0	0.01236	0.08336	1.90301	7.32767	0.03785	1.47114	0.08412
Healthy	0	1.00364	0		27.29133	12.8256	1.88746	1.26245	1.38138	0.42914	0	1.00364	0	0
Healthy	0	0	0		78.2146	11.33591	0	0	0	0	0.43276	0	0	0
Healthy	0	0.42331	0.00613		64.69453	17.3938	1.46273	0	0.56976	0	0.07146	0.42331	0	0.00613
Healthy	0	0	0		79.61067	11.91696	2.74832	0	0.06262	0	0.00254	0	0	0
Healthy	6.72967	0	0.04315		46.96026	28.14546	0.3539	0.6796	0	0.18105	0	0	0	0.04315
Healthy	0.01651	0.27859	0.03226		33.30529	20.27504	0.24621	0	1.2693	0	0.1551	0.27859	0.26395	0.03226
