group	Lachnospirales	Oscillospirales	Actinomycetales	Coriobacteriales	Verrucomicrobiales	Acidaminococcales	Erysipelotrichales		Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales
Healthy	14.87514	1.47712	0.92934	0.23525	0	0	0.04651		63.68496	14.87514	1.47712	0.92934	0	0.17416	0	0.04651	0.23525	0
D009765	9.93278	10.85672	9.89445	3.60084	0	0	1.00104		33.05182	9.93278	10.85672	9.89445	0	0	0	1.00104	3.60084	0
D009765	13.8465	3.36773	0	0	0	0	1.14463		62.76821	13.8465	3.36773	0	0	0.61424	0	1.14463	0	0
Healthy	0.64545	1.54077	0	0	0.55019	0	0		92.81289	0.64545	1.54077	0	0.55019	0	0	0	0	0
Healthy	20.44622	11.96651	0.61728	0.12868	0.38836	0.00113	0.14758		49.73983	20.44622	11.96651	0.61728	0.38836	2.54517	0	0.14758	0.12868	0.00113
Healthy	11.94382	31.88632	0.01142	0	0	0	0		51.54426	11.94382	31.88632	0.01142	0	2.10393	0	0	0	0
D009765	46.81269	8.56773	0.6247	0.28407	0.5488	0	0.55247		25.66097	46.81269	8.56773	0.6247	0.5488	0.05602	0	0.55247	0.28407	0
Healthy	2.68635	0.77931	0	0	0	0	0		71.0787	2.68635	0.77931	0	0	0.34626	0	0	0	0
Healthy	32.47023	13.63179	10.94462	0	0	0	0		26.51604	32.47023	13.63179	10.94462	0	0	0	0	0	0
D009765	16.42466	17.07903	3.25025	5.35933	3.8027	0	0		40.19462	16.42466	17.07903	3.25025	3.8027	0	0	0	5.35933	0
Healthy	51.48479	17.91611	0.53641	0.16698	0.09373	1.31009	1.34631		14.1769	51.48479	17.91611	0.53641	0.09373	0.63021	0.18576	1.34631	0.16698	1.31009
Healthy	4.28305	4.47132	0.49856	0.253	8.71159	0	0		58.04866	4.28305	4.47132	0.49856	8.71159	0.51464	0	0	0.253	0
Healthy	38.09029	21.15368	0.40697	1.54102	0	1.07483	0		22.14347	38.09029	21.15368	0.40697	0	0	0.11191	0	1.54102	1.07483
Healthy	6.73804	0.39654	25.6546	1.31584	0	0	0		0.35748	6.73804	0.39654	25.6546	0	0	0	0	1.31584	0
Healthy	12.91336	1.73887	0	0	0	0	0.53907		80.38068	12.91336	1.73887	0	0	0	0	0.53907	0	0
D009765	10.22246	1.81579	2.65123	0.33246	14.5182	0	0.23919		30.17486	10.22246	1.81579	2.65123	14.5182	2.19707	0.45188	0.23919	0.33246	0
Healthy	21.6924	25.92229	0.19456	3.69281	19.023	0	0.1903		20.33218	21.6924	25.92229	0.19456	19.023	0.00056	0	0.1903	3.69281	0
Healthy	0.0105	0.00433	7.18306	0.0026	0.00039	0	0		28.87276	0.0105	0.00433	7.18306	0.00039	0	0	0	0.0026	0
Healthy	14.063	5.64434	10.5799	0.78351	11.9695	0.01608	1.18442		38.75978	14.063	5.64434	10.5799	11.9695	0	0	1.18442	0.78351	0.01608
Healthy	41.68406	7.35678	0.58931	0.4209	2.81759	0	1.65472		29.53286	41.68406	7.35678	0.58931	2.81759	0.06954	0.20726	1.65472	0.4209	0
Healthy	11.91339	3.242	0	0.00433	0	0	0.73283		33.23081	11.91339	3.242	0	0	0	0	0.73283	0.00433	0
Healthy	26.02128	4.27652	0.13293	0	0.49181	0	1.85933		41.87328	26.02128	4.27652	0.13293	0.49181	0	2.44739	1.85933	0	0
D009765	24.99342	3.93827	0.47942	0.37517	0	0	0.16352		60.31766	24.99342	3.93827	0.47942	0	1.22686	0	0.16352	0.37517	0
Healthy	3.89694	7.01832	0.74931	0.64273	0	0	0.17372		69.54234	3.89694	7.01832	0.74931	0	2.99685	0.00825	0.17372	0.64273	0
Healthy	57.26534	0.76115	0	0	0	0	0		28.72289	57.26534	0.76115	0	0	0.03267	0.21268	0	0	0
