g	Phytobacter	Acinetobacter	Pseudomonas_E	Leclercia	Serratia	Veillonella	Staphylococcus	Longicatena	Bacteroides	Phocaeicola	Alistipes	Faecalibacterium	Agathobacter	Parabacteroides	Roseburia	Mediterraneibacter	Enterocloster	Blautia_A
Healthy	-1.54760015408856	-5	-5	-5	-5	-0.650955713397964	-5	-5	1.6541384070297	1.022319062048	0.925012314552847	0.293123792887703	0.15512947069166	0.712274160742297	0.0906812044573908	-0.624464407490501	-1.80771138743188	-1.91292879409346
Healthy	0.243191885767495	-5	-5	-5	-5	-5	-5	-5	0.837105269449196	0.0253755106819602	0.207173711781878	0.415457483406035	0.417541440444544	-0.615951397971382	-0.197253632702421	-0.696674321781085	0.273739523913965	0.612891887275404
Healthy	-0.843632599866478	-5	-1.80631897045872	0.802126931636451	-5	-2.32422165832591	-5	-5	1.36760300715496	1.06196639163414	0.73958974752326	0.329745582554248	0.975273687344961	-0.300995253495097	0.373094147623405	-1.29191918953177	-0.0440093591835253	-0.483914356975709
Healthy	-5	-5	-5	-5	-5	-5	-5	-0.617982957425132	1.4666115631195	1.41480644660159	1.05985184206671	0.309361843843319	0.164700746917783	0.156324980573815	-0.00835312847886529	-1.08650404038288	-1.00802120900542	-0.763009535346852
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.36132451021942	1.40381432289082	1.34547057821307	0.242591115900052	-0.670724187763545	0.370079874415941	0.458331091045034	-0.690753202746328	-1.63978538670465	-5
Healthy	1.10904539072735	-5	-5	-5	-5	-5	-5	-5	1.03633820399609	1.03078991182163	0.763092408893041	-0.40507733728301	0.148108857729697	0.517411011841207	0.0421145929212059	-0.846734064924131	-0.382119374409968	-1.08312512146132
Healthy	-2.08301995267962	-5	-5	-5	-5	-5	-5	-2.49349496759513	1.29880658913552	0.471325455602947	1.31518938226151	0.743737043513994	0.0479754052790859	0.815480120702342	-0.304938811987288	-0.678401569534656	-0.345015324964309	-0.578461880309915
Healthy	-2.38721614328026	-5	-5	-5	-5	-1.708409174342	-5	-1.45247142354022	1.62117326871674	-5	0.782248252400543	0.953635037609222	-0.784653297137832	-5	-5	-1.74280157386066	-0.55662747459512	-3.48148606012211
Healthy	-1.6643415477107	-5	-5	-5	-5	-1.91435271170314	-5	-1.60136567546161	0.894172012566013	0.680007175128202	0.74022922213786	0.943992333605363	0.980003826342128	0.323487236368282	0.866538389168284	0.210569979246113	-0.213511220913536	-0.888939217930179
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.22970487441369	0.636219011929853	0.637450701296253	0.313001986537057	0.184424527372856	0.665625074829395	0.117619254855621	-0.444107860055416	-0.618975218590174	-0.449820584291501
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.32484338249795	0.395722931689503	1.23281371921027	0.652582813032564	0.596097644760988	0.402440223353807	0.210703674960695	-0.764421056669872	-0.760300203313339	0.106884126580011
Healthy	-5	-5	-5	-5	-5	-0.522893222004348	-5	-5	1.6301434054458	1.04665004678482	0.843816844609101	0.543920359118516	0.800094739387244	0.626298270597842	0.630665807280839	-0.40245837967472	-5	-0.969400278034049
