group	Faecalibacterium	Mediterraneibacter	Streptococcus	Enterocloster	Bariatricus	Blautia_A	Dorea	Eubacterium_G	Eubacterium_I	Coprococcus_A	Bacteroides	Alistipes	Parabacteroides	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella	Holdemania	Pseudodesulfovibrio
Healthy	10.7971	0.80386	2.39811	1.35614	0.55551	3.27826	0.79541	0.2451	0.36897	0.42211	7.03082	5.13152	1.44981	0	0	0	0	0	0	0
Healthy	3.96119	0.1563	0	0	0.0126	0	0	0	0	0	13.289	11.65477	1.26783	0	0	0.0164	0.18968	0.10417	0	0
Healthy	3.6521	0.4696	0	0	0	0.04477	0	0	0	0	24.39536	24.35708	6.37429	2.82169	0	0.14537	0.04842	0.35965	0.0405	0
Healthy	3.4988	0.39585	0.19801	0	1.5103	0.10729	0.04752	0	0.04297	0	42.67203	6.97937	4.22958	0	0	0.04626	0	1.07698	0	0
Healthy	3.53311	0.23565	0	0.01344	0	0.07662	0.07143	0	0.04087	0	23.86922	23.84199	6.43809	2.57858	0.81242	0.17001	0.06401	0.433	0.07771	0
Healthy	10.4525	0.96308	0.34608	2.29417	1.14601	0.74266	0.95346	0.24224	0.31381	0.5526	5.00373	0.52597	0.34158	0	0.24283	0	0	0	0	0
Healthy	7.37689	0.29763	0.04474	1.31081	0.83439	0.5011	0.25557	0	0.48222	0	6.80061	0.83706	2.33747	0	3.1263	0.09093	0.02107	0.14252	0.12349	0
Healthy	2.57906	0.76527	0.06404	0.5447	0.20356	0.07178	0.2418	0.2877	0	0.10801	50.35663	0.33602	0.08399	0	0	0.13021	0.17847	0	0	0
Healthy	8.32939	1.42142	0	0	0	0	0.03418	0	0	0	10.66841	23.11237	15.63019	0	0.03503	0	0.01862	0	0	0.08212
D000236	0.97512	0.13806	0.38189	0.30532	0.30521	0.29691	0.15994	0.29271	0.09237	0.04045	1.57933	0.39849	0.13926	0	0.41124	0.0052	0	0	0	0
Healthy	13.1738	0.15212	0.89916	2.97881	1.96539	0.91214	0.55333	2.1911	0.10522	0.54139	3.80237	0.62661	1.50426	0	0.3186	0.01003	0	0.04103	0	0
Healthy	7.96898	0.04213	8.21899	1.42834	0	2.4319	0.66005	0.38577	0.00782	0.23334	15.14737	3.03612	1.82479	0.21396	0.52544	0.00713	0	0	0.07337	0.00358
Healthy	23.1938	0	0	0	1.25005	2.24459	0.89869	0	0	0.58741	0	0	0	0	0	0	0	0	0	0
Healthy	2.5812	1.50849	0.12412	1.32783	0.77584	0.35916	0.28816	0.43255	0.46466	0.26535	9.67636	4.94967	1.31999	0	1.13762	0.01162	0.10156	0.04026	0.01376	0
