s	Phytobacter_ursingii	Acinetobacter_baumannii	Pseudomonas_E_parafulva_B	Leclercia_sp000755535	Serratia_marcescens_I	Veillonella_parvula_A	Staphylococcus_warneri_A	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_pseudopneumoniae_O	Bacteroides_uniformis	Faecalibacterium_sp900539885	Alistipes_putredinis	Agathobacter_rectalis	Phocaeicola_vulgatus	Bacteroides_ovatus	Alistipes_shahii	Alistipes_onderdonkii	Mediterraneibacter_torques	Blautia_A_wexlerae
D007234	-5	-0.264976282541311	-1.18058768879067	-1.39254497678533	-1.48148606012211	-1.48611681438891	-1.41027374374576	-1.82073553566097	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.37892762885637	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.872420266857949	0.645991784453664	1.08258827793917	-5	-0.0721729952128367	-0.0639690752272029	0.318893546714187	-0.493170382765443	-1.08170748724464	-5
Healthy	1.89599796400921	-0.235248677675379	-5	-1.94730605807503	-2.59345981956604	-5	-5	-5	-5	-5	-1.11719095860756	-5	-5	0.496281872803707	-5	-1.45062884766682	-1.84771165561694	-0.837734385701978	-0.420525090719613	-1.02374175074295
Healthy	-0.441783588718997	-5	-5	0.165719029800832	-5	-2.24795155218056	-5	-2.70996538863748	-3.26760624017703	-5	1.39193512724077	0.821903759535621	-5	-0.002735969310188	1.26282612970281	1.23703852680183	-5	-5	-2.17522353752445	-2.31785492362617
D007234	-5	-5	0.957177568304955	-5	-5	1.71139981313583	-5	0.450604714554838	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.357637596441834	-5	-5	-5	-5	0.305647964376237	-5	-5	-0.878604319292776	-5	1.02525300922944	0.9678254055063	-5	1.15795847067473	0.498400160866406	1.05732028002028	-5	-5	-1.45842075605342	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.110395797681096	1.39197739792622	-0.63667012111284	0.239857320530141	0.63121844567664	-5	-5	-5	-0.0487013459839108	-0.140033548984077
D007234	0.807806884368401	1.3257087542256	1.4321160501785	1.24989291753949	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	-5	-5	0.927441712890449	-5	-5	-5	-2.42136079003193	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.15645578805436	-5	-5	-5	-5	-5	-5	-5	-5	0.209943735684952	1.20651852418563	-0.381251318540714	-5	-5	-0.437219571692313	-5	-0.697690721630015	-1.92738252345476	-0.362730475581098
