group	Faecalibacterium	Prevotella	Phytobacter	Ruminococcus_B	Faecalimonas	Veillonella	Haemophilus_D	Muricomes	Intestinibacter	Eggerthella	Bacteroides	Parabacteroides	Dialister	Ruminiclostridium_E	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Clostridium_A	Parasutterella
Healthy	10.7971	0	1.83545	0.03041	0	0	0	0	0	0	7.03082	1.44981	1.29797	1.09653	0	0	0	0	0	0
Healthy	4.49347	0	0	0	0	0	0	0	0.12217	0	21.12726	2.52603	0	0.22622	1.16431	1.88591	0.14019	0.05238	0	0
Healthy	3.4988	0	0	0	0	0.29998	2.77557	0	0	0	42.67203	4.22958	4.47702	0	0	0	0.04626	0	0	1.07698
Healthy	3.6521	0	0	0	0	0	0	0	0	0	24.39536	6.37429	0	0	2.82169	0	0.14537	0.04842	0	0.35965
Healthy	3.96119	0	0	0	0	0	0.12423	0	0	0	13.289	1.26783	0	0.51705	0	0	0.0164	0.18968	0	0.10417
Healthy	3.53311	0	0	0	0	0	0	0	0	0	23.86922	6.43809	0	0	2.57858	0.81242	0.17001	0.06401	0	0.433
Healthy	7.37689	0	0	0.01715	0	0	0.01484	0.01059	0	0.00032	6.80061	2.33747	0	8.8993	0	3.1263	0.09093	0.02107	0.14936	0.14252
Healthy	10.4525	0	0.04559	0	0	0	0	0	0.41789	0	5.00373	0.34158	0	0.6262	0	0.24283	0	0	0	0
Healthy	2.57906	0.06453	1.37665	0.05311	0.13412	0	0	0.02348	0.0709	0.00026	50.35663	0.08399	0	0	0	0	0.13021	0.17847	0	0
Healthy	8.32939	0	0.04487	0	0	0	0	0	0	0	10.66841	15.63019	0	0.05143	0	0.03503	0	0.01862	0.05067	0
Healthy	13.1738	0	0.09711	0.15084	0	0	0.06684	0	0.40841	0	3.80237	1.50426	0	0.0654	0	0.3186	0.01003	0	0.04397	0.04103
Healthy	7.96898	0	2.02806	0.37323	0.0815	0.1432	0.28217	0.0108	0.06758	0.00087	15.14737	1.82479	0	2.3893	0.21396	0.52544	0.00713	0	0.00777	0
Healthy	23.1938	28.73911	0	0	0	0	0	0	0	0	0	0	0	0.03315	0	0	0	0	0	0
Healthy	2.5812	0	0	0.01757	0	0.0031	0	0	0	0.00142	9.67636	1.31999	0	0.07187	0	1.13762	0.01162	0.10156	0	0.04026
Healthy	3.68747	0	0	0.1535	0	0	0	0	0	0.00547	43.0888	2.36362	0	0	0	4.36243	0.00911	0	0.03905	0
Healthy	7.98751	35.4315	8.48243	0.17791	0.02327	0.02726	0.00258	0	0.66049	0	3.9422	1.19501	0	0.75835	0.30764	0.84118	0.02344	0.02471	0	0.00114
Healthy	1.11355	0	0.02486	0	0	0	0.03965	0	0	0	14.45132	2.10844	0	0.0919	0.37442	1.06521	0	0	0	0.02046
Healthy	4.47299	0	0	0	0	0.13071	0.74286	0	0	0	33.62182	1.85882	0	0.06507	2.38969	0.7931	0.0685	0	0	0
Healthy	4.26482	0	0.36631	0	0	0.20284	0.23479	0	0	0	7.84251	5.22934	2.48965	0	0	1.45795	0	0.20337	0	0.013
Healthy	5.49425	0	0.47299	0.00483	0.0107	0.00186	0	0.00474	0.14908	0.04941	5.36384	0.38155	4.71543	0.03796	0	0.52809	0.1098	0.06156	0.03136	0.18365
D001172	0.13066	0.45311	16.1133	0.02674	0	0.00516	0	0	0	0	9.98835	0.0694	0	0	0	0	0	0	0	0
Healthy	3.86935	0.01157	2.12948	0.05193	0	0.00824	0	0.00482	0.13647	0.00056	13.27297	1.46835	0.14204	0.05591	0	1.36225	0.08154	0.0424	0.02277	0.00147
Healthy	3.14863	45.34911	0	0	0	0	0	0	0	0	5.531	0.89272	0	0	0.08094	1.05331	1.2697	0.02117	0	0
Healthy	0.40714	0	1.06216	0.01119	0	0	0	0	0	0	49.62456	1.75228	9.30256	2.67228	0	0	0.17583	0	0.03647	0.01997
Healthy	5.60286	2.41062	0	0.05435	0	0.00209	0.01462	0	0	0	7.42691	1.40721	0.26986	27.6619	1.85847	1.54784	0.01682	0	0	0
Healthy	21.7045	2.1963	0	0.0266	0	0	0	0	0.26971	0	0	0	0	0	0	0	0	0	0	0
Healthy	18.062	40.07286	0	0	0	0	0.24052	0	0.05592	0	0	0	0	0.10538	0	0	0	0	0	0
Healthy	16.8632	0.03222	0.02631	0.24991	0	0	0	0.08751	0.05482	0.00763	44.14174	2.47829	0	0	0	0	0.27357	0.00478	0	0.39081
Healthy	0.51861	0	0.42965	0.01424	0	0.02362	0	0	0	0	76.31918	3.17839	3.34381	0	0	0	0.20572	0	0.37289	0.11156
Healthy	0.02963	0	15.6337	0	0	0	0	0	0.04787	0	0.0175	0.00463	0.00048	0	0	0	0	0	0	0
D001172	14.0613	0.58668	0.14895	0.00898	0	0	0	0	0.00628	0	24.75004	4.0688	0	0.01216	0	0.94598	0.00832	0.07222	0.04509	0.22768
Healthy	0	0	1.31886	0.8125	0	0	0	0	0	0	83.40261	2.44765	0	0	0	0	0	0	0	0
Healthy	4.29314	0	0	0	0	0	0.04188	0	0.26029	0	27.78982	0.27114	1.41269	0.61967	0	0	0	0	0	0.03569
Healthy	15.0865	0	2.36877	0.28342	0	0.06649	0	0	0	0	14.02877	1.18699	0	2.96698	0.26927	0	0	0	0	0
Healthy	6.5334	0	0	0	0	0	0.07776	0.06952	0	0	31.70646	5.80673	0	2.4149	5.7003	0.9632	0.15639	0	0	0
Healthy	7.8163	17.7119	0	0	0	0	0	0	0	0	18.06008	0.06004	0	0	0	0	0	0	0	0
Healthy	8.03705	0	0	0	0	0	0.06544	0.08949	0	0	37.14727	6.68856	0	3.31537	7.09637	1.07873	0.23769	0	0	0
Healthy	1.12954	43.95133	0	0	0	0.08681	0.1676	0	0.02165	0	2.94878	1.45644	0	0	0.83185	2.11166	0.01289	0	0.35155	0.01552
Healthy	12.2367	0	0.04705	0.00935	0	0.028	0.02787	0	0	0	10.10225	0.00304	5.34871	0	0	0.587	0.081	0	0	0
Healthy	22.0754	0.62459	0.78469	0.03273	0.6648	0	0	0.03289	0.06551	0.00335	2.12968	0.76233	0	0	0	0	0.00321	0	0	0.24481
Healthy	3.55185	0	0	0	0	0	0	0	0	0	24.40483	6.3337	0	0	2.59178	0.79485	0.1543	0.08903	0	0.38392
Healthy	4.68188	0	0	0	0	0	0	0	0	0	41.147	6.04427	4.62199	0.17968	6.27355	1.04245	0.0264	0.00312	0	0.05957
Healthy	0.00499	0.0019	0	0	0	0	0	0	0	0	0.02396	0	0	0	0	0	0	0	0	0
Healthy	3.82362	0	0.07817	0.08233	0	0.00282	0.00767	0.00489	0	0	18.3019	1.24461	0	0.82189	0	1.41887	0.04191	0.18727	0.08105	0.00077
Healthy	9e-05	0.0049	4.27323	12.7376	0	0.10549	0	0.14393	0	7e-05	0.00717	0	0	0.00263	0	0	0.07233	0	0	0
Healthy	7.06813	0	0	0	0	0	0	0.09622	0	0	8.70722	5.48968	0.20528	0	0	0	0.02147	0.00788	0	0.01982
Healthy	4.42579	0	0.04178	0	0	0	0	0	0	0	12.23413	5.2338	0	0.92377	0.03447	0	0.04991	0	0.9764	0.02873
Healthy	0	0	78.7042	0.07356	0	0	0	0.0059	0	0	0.92068	0.02172	0	0	0	0	0.05913	0.04022	0.05402	0.02799
Healthy	0.50967	33.1072	0.12255	0	0	0	0	0	0	0	12.83802	8.26991	0	0.04141	0	0	0	0.02595	0	0.25346
Healthy	2.13626	0	0	1.68189	0	0	0	0	0	0	29.93929	1.39305	6.30271	0	0	0	0.05422	0.13634	0.45379	0.19767
Healthy	6.63595	0	0.36158	0.09022	0.0228	0.008	0.04462	0.00265	0.25312	0.01042	44.95971	0	0	0	0	0	0.04607	0	0	0.17411
Healthy	0	0	0	2.69923	0	0	0	0.01559	0	0	48.7416	0	0	0	0	0	0	0	0	0
Healthy	9.28592	0	2.27843	0.00665	0	2.80187	0.62055	0.56096	0	0	47.8383	0	5.07885	0	5.86197	0	0.1339	0	0.07771	0.04242
Healthy	0.04218	0.03605	18.6713	0.00084	1.61297	0.01348	0.00123	0	0	0	5.78663	22.9141	0	0	5.67678	0	0	0	0	0
Healthy	24.6591	0	0	0	0	0	0	0	0	0	4.75974	0	0	0.62242	0	0	0	0	0	0
