p	Firmicutes_C	Proteobacteria
Healthy	-1.07232173586201	-0.311856149451174
Healthy	0.678977013973486	0.774385562646841
Healthy	-0.867740310468955	-0.0634209172020868
Healthy	-5	0.157927980321232
Healthy	-0.0115748299936968	-0.346536632985738
Healthy	1.04720514096898	0.264652570846897
Healthy	0.566423349403645	-0.0820798243366253
Healthy	-0.0633103636677276	-0.794146304535075
Healthy	-0.187755303199631	-0.520799118887217
Healthy	0.247845658276882	-5
Healthy	-0.281025246016849	-1.04052929792489
Healthy	-5	0.377808750839212
Healthy	-1.45308735681876	-0.698254008974744
Healthy	-5	-0.608817803738631
Healthy	-0.264568783112533	-0.306528076141141
Healthy	0.885925210295458	-0.433692167301908
Healthy	1.34189548279479	-0.284272353815048
Healthy	0.260727106907382	-5
Healthy	-0.36954161355392	0.729003519824778
Healthy	0.963798212524213	-0.483424966318601
Healthy	1.11834608666489	-5
Healthy	-0.210687279437465	-0.932371283271754
Healthy	0.831903032672772	-1.71805806655918
Healthy	-5	-0.541876055338938
Healthy	0.541469408465626	-0.220367439269799
Healthy	-1.53476590501199	-0.709053215265694
Healthy	0.804537410020901	-0.399953279937726
Healthy	-5	-0.0618606992343694
Healthy	-0.745766217349854	-0.39293118799967
Healthy	0.641711023911854	0.904611691591412
Healthy	-0.730276964115371	0.799950890078026
Healthy	-5	-0.246961107423735
Healthy	-5	-2.08830984124614
Healthy	-1.00309448930433	1.4136282950715
Healthy	-0.136730686335724	-5
Healthy	-0.0516408352936168	-1.17842097208799
Healthy	0.901821625379103	-0.377931111609964
Healthy	-5	0.514387020681097
Healthy	-5	0.519880473321659
Healthy	0.067970517084096	1.15529989537147
Healthy	-5	-1.01264661126421
Healthy	0.573966408242126	-1.67427914198059
Healthy	0.232350538425163	-1.20300960945431
Healthy	1.06706750671768	-0.293495577766724
Healthy	-0.811380832792151	0.39223427997594
Healthy	0.0355017810629472	-0.318785906877798
Healthy	0.252384516707471	0.601916650496396
Healthy	1.0635431359504	-0.482395081074068
Healthy	-5	0.501642496439225
Healthy	0.678661299407043	0.580195980523263
Healthy	0.34122870530905	-0.813835038272585
Healthy	-0.836302054107431	-0.062798164672644
Healthy	-5	-0.0693361795917024
Healthy	1.44829547779539	-1.06228155638274
Healthy	-0.125483393748769	0.996632049605175
Healthy	-5	-0.788745932382128
Healthy	0.927596691603332	0.583301949173759
Healthy	-2.47495519296315	1.92718094675682
Healthy	-5	0.298999271550536
Healthy	0.146484631135281	0.545804228947813
Healthy	0.594414651313418	-0.398940036453717
Healthy	0.913408498297481	-0.196194768898458
Healthy	-0.232977783551711	-0.314831729477303
Healthy	0.620242272288606	-0.604167079898016
Healthy	0.466091719423924	0.19412566176021
Healthy	-0.000273691745554114	0.665242240563584
Healthy	-5	0.222198649977859
Healthy	1.0353492761776	0.0227746788159939
Healthy	-0.309157391303371	1.08889446656058
Healthy	0.300595483889963	-0.475967565125609
Healthy	-5	0.629796825255506
Healthy	0.0791559114639147	-1.73754891026957
Healthy	0.625788678730729	-5
Healthy	0.686254530050289	-0.240490796179074
Healthy	-0.847161490107781	-1.00160986968195
Healthy	0.926595539789429	-0.0341071775776631
Healthy	0.786735809971808	-0.593272517243997
Healthy	-1.6298571529489	0.688322806867364
Healthy	-0.124701387161133	-1.14800825203784
Healthy	-5	-5
Healthy	-0.0195330221603197	-0.251377895514481
Healthy	-5	-5
Healthy	0.441984045615037	-5
Healthy	0.966404577410148	0.928874950674434
Healthy	-0.575183675720647	0.828040875907554
Healthy	-2.89619627904404	-0.827251161017256
Healthy	-5	0.190650997351671
Healthy	0.422763785416797	1.03822462689201
Healthy	0.797814393588605	-0.728623128105925
Healthy	-5	-5
Healthy	0.818457499571274	-0.944315935080587
Healthy	0.539363441391783	-0.143289230766319
Healthy	0.342700934945513	-0.341750045533042
Healthy	0.553938826260645	0.493078661898857
Healthy	0.381167445702358	0.0659343246519366
Healthy	-0.0681354865079682	-0.199131769565326
Healthy	1.09059272935679	-0.661364247508806
Healthy	-5	-5
Healthy	0.678505632264486	1.43441240209198
Healthy	0.384935548396419	0.315481226580935
Healthy	-0.831502516476967	-0.304168227173308
Healthy	1.11453792855525	0.0603880590487465
Healthy	-1.34122567915564	-0.570231575521394
Healthy	0.735211534305174	0.020990719056463
Healthy	-1.41240127027875	0.28787559848232
Healthy	0.547390683306725	-0.449600409644503
Healthy	-0.232784747279972	-0.493562619979703
Healthy	-5	-0.163226628281931
Healthy	-5	-5
Healthy	-5	-0.990081915334099
Healthy	-5	0.392904380432279
Healthy	-1.6192462291961	-0.424638933844794
Healthy	0.129580338231345	0.388015898041535
Healthy	0.753317192371269	-0.437481123263368
Healthy	0.185859331776929	-0.36102181308957
Healthy	-0.272938846718678	-0.357545372683354
Healthy	-2.17848647159523	1.90530887389426
Healthy	0.525525505841643	-1.14837479684669
Healthy	-0.318876399977372	0.406470347079523
Healthy	-5	-1.10513034325475
Healthy	0.0513725092595915	-0.302073555193495
Healthy	0.182237702738818	0.753984232115684
Healthy	-0.467143745688737	1.08498035907555
Healthy	0.629054678341389	-0.416994036611104
Healthy	0.422734252401019	1.13884846067271
Healthy	0.367586986223376	-1.45954538632859
Healthy	-1.85792353892671	-1.16380251922107
Healthy	-5	-5
Healthy	0.804779834059292	-0.546299526640228
Healthy	-1.67612939345949	-0.735961774006879
Healthy	1.05112009391539	0.0229683257669948
Healthy	-0.0218057831372871	0.953775150216084
Healthy	0.930566500314849	1.03198821374789
Healthy	-0.456527968298488	-1.20148746696865
Healthy	-5	0.49554156249297
Healthy	-0.175074030730228	-1.57642648026726
Healthy	-1.32550628270365	-0.753501419204199
Healthy	0.449737510057031	-0.329865518764389
Healthy	-5	0.609970919072212
Healthy	0.484057706083955	-0.542648053889306
Healthy	-5	-5
Healthy	-5	0.014247443807829
Healthy	-0.701671011926505	-0.226008885316071
Healthy	1.18208095642954	-5
Healthy	1.12228142720992	-0.131925984288543
Healthy	-0.00532658161359161	0.752365021483672
Healthy	0.0117141979175907	0.297690493246556
Healthy	-1.24473510858775	0.113836435890269
Healthy	-1.37623399986607	0.680280203079705
Healthy	-5	0.348406121704825
Healthy	1.00922604133679	-0.618145172377408
Healthy	0.643727971397251	0.318806011293763
Healthy	0.967030539426729	-0.544059358547495
Healthy	0.498427728555499	-0.645661023211919
Healthy	-0.31919327439843	-2.92081875395237
Healthy	-1.83713700667807	-1.33059013271222
Healthy	-5	-0.361051731763345
Healthy	-1.7956086680807	0.0169372827817184
Healthy	-1.20294030530003	0.923590072505296
Healthy	-1.35398859040876	-1.11311464101399
Healthy	0.532689421001157	-0.160616238072907
Healthy	-5	-5
Healthy	-1.74957999769111	0.545680622284173
Healthy	-1.66314017908319	-0.331959046367765
Healthy	0.443955740797119	0.986301367056596
Healthy	0.90895819561683	-0.376843782677836
Healthy	-5	-0.94919505218654
Healthy	1.1936284772856	-0.445389714773836
Healthy	-5	0.492014046313279
Healthy	0.799083343397369	-0.712713460737188
Healthy	0.684457553803209	-0.250356426250397
Healthy	-5	-0.409113601626762
Healthy	-5	-0.611898798429483
Healthy	1.36203249056816	0.759902677855901
Healthy	0.99721988749863	0.313694311450454
Healthy	-5	-0.537766765740984
Healthy	-0.679251522012826	1.03553019468976
Healthy	-5	-0.564745069604102
Healthy	0.425654841102261	-0.32862348482479
Healthy	1.04939054290343	-0.0272696615194652
Healthy	0.427400085600872	-0.74882429999326
Healthy	0.844016542117614	0.448873205288752
Healthy	-0.71190734545813	0.0754009555138978
Healthy	0.758721184662132	-0.870567925844426
Healthy	-5	0.77212945952613
Healthy	-0.0740591011511815	-0.921434440682883
Healthy	0.805375785088064	-0.401001694213639
Healthy	1.91209929916537	-0.231058664371183
Healthy	-5	0.0568286526378118
Healthy	-5	-5
Healthy	-5	0.782098367706684
Healthy	-5	-2.34486156518862
Healthy	-5	-0.389063168767338
Healthy	0.692898890557778	0.60778088987383
Healthy	0.651900896014137	0.798293534836545
Healthy	-0.47293750099106	0.17641251812109
Healthy	0.0321673112446803	0.375831813353148
Healthy	-5	-0.685248226284956
Healthy	-5	-5
Healthy	0.984503910316287	0.0789821487801426
Healthy	-5	-0.893367211079884
Healthy	0.0282580248289713	0.899784947897044
Healthy	-5	0.668363549016223
Healthy	0.54943979068814	-0.249507033290608
Healthy	0.0485000681322824	0.628206999201477
Healthy	-0.223327866781318	-0.634586899923822
Healthy	0.467317985810699	-0.700579874017971
Healthy	-5	0.394395639212886
Healthy	1.25810809798661	-1.85761053388116
Healthy	-0.355443251238301	-1.11030620855581
Healthy	0.523020302208912	-0.78936049384585
Healthy	-5	0.769110611016678
Healthy	-0.136938985336841	0.366520078894746
Healthy	-1.04368746915881	0.940674834094561
Healthy	0.806808567268294	-0.581036169296377
Healthy	1.07539000309397	-0.266128937401695
Healthy	-5	0.633279546899684
Healthy	-5	-0.188907811835503
Healthy	-5	-5
Healthy	0.234114691241981	1.57082455623981
Healthy	0.0403135054983082	1.18787365316479
Healthy	-5	-0.828302792751164
Healthy	-5	-5
Healthy	-5	-0.721337839090019
Healthy	-5	-0.871923987331285
Healthy	0.0978505442769207	1.44691910366604
Healthy	0.640606638840859	1.2902666185344
Healthy	-5	0.791988028378919
Healthy	0.689040561678589	0.618298136481465
Healthy	-0.018829468531624	-1.00850811108984
Healthy	0.969296604779479	-0.640202448965599
Healthy	-1.22040350874218	-0.472254130923812
Healthy	1.03349653392673	-5
Healthy	0.205688749034518	-0.0825417560222547
Healthy	0.931204543128487	-5
Healthy	1.19898158707447	-0.547569506300401
Healthy	-1.05487622987788	-0.110787967546536
Healthy	1.06094361923556	0.0864274614344255
Healthy	0.274441895829183	-0.228978720109968
Healthy	0.442628689289988	0.232681069160143
Healthy	-5	-5
Healthy	0.132899769944483	0.19301044185402
Healthy	-5	-0.210574420711631
Healthy	-1.05729763111133	0.492433497837666
Healthy	-5	0.156721744545782
Healthy	-5	0.209852667847063
Healthy	-5	0.0625368603794132
Healthy	-1.30759376516637	-0.460848596554507
Healthy	-5	0.872752217042514
Healthy	0.63469385956255	0.38151578301283
Healthy	0.356675855658637	-5
Healthy	0.649183900540323	0.913997594223057
Healthy	-1.85667287000795	0.658422588577606
Healthy	-0.486795722053012	0.382721073867374
Healthy	0.789197715569405	0.363201932709326
Healthy	0.816962094484258	0.354882177263644
Healthy	0.782928895268716	-0.852973284777769
Healthy	-5	0.103420552116717
Healthy	0.404157811713651	-5
Healthy	-0.01776948397675	0.770952108664522
Healthy	1.10282837065241	-0.733063088840827
Healthy	0.907886245009021	0.618608654892877
Healthy	0.647825841976948	-0.254729976011012
Healthy	0.0566990841594966	0.831493521276503
Healthy	0.63139607517795	-0.0326205327758208
Healthy	0.505297884688931	-0.430251658218725
Healthy	-2.8153085691824	0.446915999844408
Healthy	-5	-0.824343252718336
Healthy	-5	-1.18422307970164
Healthy	-1.4182778400509	0.280530568030269
Healthy	-2.06398920428479	-1.45038376048091
Healthy	-5	-0.169218924393639
Healthy	1.06176187906639	0.312816052901806
Healthy	1.21682305078592	-0.504247583962673
Healthy	-5	1.30940508495838
Healthy	0.559999934486939	-5
Healthy	0.753893923904518	1.28716123315757
Healthy	-5	-1.38848911287334
Healthy	-0.862899195420877	0.357950085135993
Healthy	-5	0.567629722105538
Healthy	-5	0.672473775735501
Healthy	-5	0.553690098818399
Healthy	0.152548231614437	0.801472313521471
