group	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Parasutterella	Ruminococcus_C	Bilophila	Faecalimonas	Pseudodesulfovibrio	Rothia	Bacteroides	Mediterraneibacter	Streptococcus	Anaerobutyricum	Blautia_A	Anaerostipes	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0	0.00433	55.0788	0.0105	0	0	0	0	0	0.11153	12.18689	0	0.00532	0	0	0	0	0	0	0
Healthy	2.12059	2.87864	0.57325	0	0	0.00839	0	0	0	0	8.75885	3.4149	0	0	0	0	0	0	0	0
Healthy	6.79792	7.02649	0	0	0.06954	0	0	0.71715	0	0.00583	4.71016	9.01518	0.7126	0.26443	0.34818	1.0676	0	0	0.85949	0.00383
Healthy	0	1.23252	33.3132	0	0	0	0	0	0	0	12.29788	0.55036	0	0.17258	0.18999	0.10545	0.04376	0	0.00888	0
Healthy	0	0.36953	5.37164	0	0	0	0	0	0	0	13.72947	0.25141	0.02733	2.54507	0.60366	0.32253	0	0	0.12536	0
D006973	59.277	3.32781	0.53022	0.02604	0.04937	0.15821	0.0122	0	0	0	1.36134	0.08327	0	0	0.0023	0	0.00152	0.16181	0.00165	0
Healthy	31.28285	1.44314	0	0	0	0	1.21704	0	0	0	13.69382	0.40435	0.04903	0	0.02905	0	0.09056	1.94449	0	0
Healthy	0	0.66465	0	0	0.00138	0	0	0	0	0	15.8135	0.49241	0.21686	0.60179	0.29519	0.25544	0	0	0.09282	0
Healthy	0	0.10161	1.15581	0.27628	0	0	0	0	0	0	57.8104	0.20743	0	0	0	0	0.00677	0	0	0
Healthy	0.0586	14.5544	0.00483	0.00977	0	0	0	0.00102	0	0	3.96107	1.37903	0.02978	0.45317	0.4357	0.34813	0.00013	0	0	0
Healthy	0	6.69399	26.8642	0.02066	0	1.76167	0.0392	0	0	0.01325	11.98078	1.21669	1.2578	3.01429	0.71833	0.12998	0.01155	0.41728	0.15931	0.20868
Healthy	0	1.72603	0	0	0.01241	0.03379	0.0151	0	0	0	30.48081	0.0538	0	0.0073	0	0	0.00971	0.02694	0.00937	0
Healthy	21.8334	9.43876	0.18994	0	0	0.30472	0	0	0	0.00101	1.44905	0.10851	0.4968	0.19956	0.38947	0.23984	0.00501	0.00668	0.39206	0
Healthy	45.2425	3.42137	0	0	0	0	0	0	0.06238	0	4.46224	0.29819	0.05237	0	0	0	1.28496	0.02943	0.00195	0
Healthy	0	7.64183	1.82775	0.27636	0	0	0	0.06483	0.02331	0.02079	15.85583	0.04036	8.13615	0.16639	2.27022	0.50882	0.01016	0.00079	0.21618	0.01142
Healthy	0	44.3123	0	0	0	0	0	0	0	0	5.66371	2.97291	0	0	0	0	0	0	0	0.89561
Healthy	0	5.06867	0.09832	0.08189	0.00305	0	0.0016	0	0	0	22.53788	0.0859	0.03648	0.01332	0.04375	0	0.17711	0	0	0
Healthy	0	3.78617	0	0	0.12849	0	0	0	0	0	14.67943	0.02481	0	0.0201	0.04747	0	0.16664	0.26179	0	0.06162
Healthy	0.00981	0.82079	9.34072	0.00957	0.00271	0	0.07043	0.01255	0.0041	0.00982	11.27138	0.17879	0.01927	0.39557	0.06503	0.04555	0.02287	0.11803	0.12609	0.02265
Healthy	0	0.46508	0.38656	0.00801	0.11966	0	0.00253	0	0	0	76.27529	0.14083	0.20842	0.00928	0.01191	0.01594	0.13158	0	0	0
Healthy	0	0	2.74432	0.02072	0.07877	0	0.0383	0.05621	0	0	43.78664	1.25518	0.07356	0	0.06956	0	0.45575	0	0	0
Healthy	0	4.43563	0.09232	0	0.00641	0	0	0	0.13826	0	22.45865	0.17724	0.00636	0.04734	0.1027	0	0.16672	0.02118	0	0.03016
Healthy	0.00378	0.4021	5.3394	0.00157	0.01428	0	0.01813	0.89341	0.33682	0.00036	19.87227	0.55596	0.01463	0.01762	0.12309	0.05691	0.02925	0	0	0.04885
Healthy	0	1.65404	0	0	0.00873	0.01788	0.02838	0	0	0	38.0593	0.0681	0	0.01828	0.00329	0	0.00901	0.02461	0	0
Healthy	5.62755	6.05802	0.00681	0	0.00842	0.0004	0.00834	0	0	0	1.99892	0.02935	0.09888	0.6216	0.24514	0.07445	0.05635	0.89575	0.33369	0
Healthy	26.4025	1.00071	0	0.037	0.08336	0	0	0	0	0	9.77973	0.05952	1.60955	1.08564	0.57152	0.16869	0.00715	0.04706	0.11822	0
Healthy	0	13.6637	1.88746	0	0	0.11252	0.05407	0	0	0	11.33523	0.81629	0	1.43622	0.50349	0.62812	0	0	0.16628	0
Healthy	64.6746	3.19307	0	0	0	0	0	0	0	0	1.85778	0.92559	0	0	0.11172	0	0	0	0	0
Healthy	19.2902	7.34323	0	0	0	0	0	0	0	0	14.15707	0.06038	0	0.97938	0.66603	1.04312	0	0	0.35481	0.03878
Healthy	0	0	2.54476	0.02249	0.06262	0	0.03517	0.05726	0.01092	0	42.1532	1.4595	0.09803	0	0.0708	0	0.38809	0	0	0
Healthy	0	0.77794	0	0	0	0	0	0	0	0	22.9616	0.78863	0.6513	1.09596	0.65927	0.13731	0	0	0.13901	0
