group	Lachnospirales	Methanobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Desulfovibrionales	Peptostreptococcales
Healthy	3.10588	0		66.09812	3.10588	0.11984	0	0	0	0.00808	0.22282	0.33033	0
Healthy	25.5392	0.79834		25.51014	25.5392	1.03523	2.10237	0.2242	0.79834	0.13303	1.03937	0.07805	0.07247
Healthy	12.06107	0		18.16758	12.06107	0	0	0	0	0	1.79807	0	0
Healthy	0.68422	0		78.57875	0.68422	0.12056	0.09832	0	0	0.03735	0.03568	0.0016	0
Healthy	18.72938	0		64.93079	18.72938	0	0	0	0	0.06825	0.12192	0.40904	0
Healthy	5.48461	0.07517		39.03604	5.48461	6.99607	9.39904	0.22665	0.07517	0.8809	0.65339	0.18958	0.0581
Healthy	1.21892	0		88.7654	1.21892	0	0.38656	3.58941	0	0.02311	0.13178	0.00253	0
Healthy	11.90134	0		79.91048	11.90134	0	2.90482	0	0	0.01034	0	0.0383	0
Healthy	6.58367	0.17643		64.14272	6.58367	0.57014	0.13452	0.38466	0.17643	0.02486	0.1822	0.13826	0
Healthy	3.07898	3.08044		38.36526	3.07898	0.01179	5.3394	2.03817	3.08044	0.51579	0.0593	0.35495	0.00271
Healthy	1.71238	0		80.84169	1.71238	1.06722	0.00402	0	0	0	0.1128	0.02838	0
Healthy	13.19326	0		25.1195	13.19326	1.57348	0.00781	0.01218	0	1.03495	0.29588	0.37016	0.08429
Healthy	23.45088	1.90301		55.82578	23.45088	0	0	0	1.90301	7.32767	0.03785	0	0.08412
Healthy	12.8256	0.42914		27.29133	12.8256	29.09458	1.88746	0	0.42914	0	1.00364	0.05407	0
Healthy	11.33591	0		78.2146	11.33591	0	0	0	0	0.43276	0	0	0
D050177	23.48317	0.16537		30.93454	23.48317	2.80454	0	0	0.16537	0.00779	0.12402	0	0.35401
Healthy	17.3938	0		64.69453	17.3938	1.11818	1.46273	0	0	0.07146	0.42331	0.03475	0.00613
Healthy	11.91696	0		79.61067	11.91696	0	2.74832	0	0	0.00254	0	0.04609	0
Healthy	28.14546	0.18105		46.96026	28.14546	0.05685	0.3539	6.72967	0.18105	0	0	0	0.04315
D050177	21.74538	0		32.32269	21.74538	0.2571	0.26934	0.02139	0	0.19334	0.17156	0	0.0534
Healthy	20.27504	0		33.30529	20.27504	0.50648	0.24621	0.01651	0	0.1551	0.27859	0	0.03226
Healthy	1.00013	0.02876		69.58044	1.00013	0.11493	0	0	0.02876	0.56566	0.14886	1.64987	0
Healthy	0.6717	0		77.68829	0.6717	0.09615	0.04198	0	0	0.0243	0.05215	0.00154	0
Healthy	19.14931	0		61.68826	19.14931	0.00498	0.03656	0.0072	0	0	0	0	0
Healthy	6.12314	0.1953		56.32307	6.12314	12.13953	0.13218	0.00213	0.1953	0.00486	1.61836	0.11107	0
Healthy	23.11718	0		54.50758	23.11718	0.20582	0.29244	0.0216	0	0	0.08121	0	0.33346
Healthy	2.7656	0		43.3074	2.7656	0	0	0	0	0	0.06576	0.03259	0
Healthy	2.56661	0		72.56282	2.56661	0	2.24934	0	0	0	0	0.05179	0
Healthy	2.54508	0		22.69552	2.54508	3.41848	0	0.31288	0	0	0	0	0
Healthy	37.05151	1.04804		19.20653	37.05151	0	0.95059	0.06109	1.04804	12.33642	2.23707	0	0.62159
Healthy	21.07635	0		61.23649	21.07635	0	0.06129	0.00798	0	0.01058	0.16171	0.14748	0
Healthy	20.93701	0		61.52382	20.93701	0	0.08635	0	0	0.04521	0.19611	0.14814	0
Healthy	2.18098	0		61.23341	2.18098	0.018	6.53906	9.44246	0	0	0.02368	0.33399	0
Healthy	7.5361	0		60.29015	7.5361	0.73847	0.80726	0.15883	0	0.07757	0	0	0
Healthy	3.34133	0		60.90446	3.34133	0.54376	0	0.23887	0	0	0.00925	0	0
Healthy	15.7248	0		38.99953	15.7248	0	3.05793	0.56786	0	0.31989	0	0	0
Healthy	23.11447	0		16.03709	23.11447	0	0	0	0	0	1.21596	0	0
Healthy	2.78405	0		72.96854	2.78405	0	0	10.1396	0	0	0	0	0
Healthy	21.6091	0		63.08919	21.6091	0.00486	0.10077	0.00816	0	0.02511	0.13351	0.20481	0
Healthy	3.97071	0		86.49669	3.97071	0.21558	1.79721	0	0	0.02595	0	0.10238	0
Healthy	18.07872	0		62.46336	18.07872	0.27018	0	0.21553	0	0	0.21112	0.01272	0.20544
Healthy	0.41292	0		50.72942	0.41292	1.51004	0.03177	0	0	0.00781	0.13067	0.97352	0
