s	Agathobacter_rectalis	Bifidobacterium_adolescentis	Collinsella_sp003487125	Enterocloster_aldenensis	Anaerobutyricum_hallii_A	Bariatricus_comes	Holdemanella_biformis	Blautia_A_wexlerae	Dorea_formicigenerans	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Bacteroides_caccae	Alistipes_shahii	Odoribacter_splanchnicus	Alistipes_onderdonkii	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Bilophila_wadsworthia
D009765	0.164944402061191	-0.872021011083091	-1.43604453500419	0.478883804186281	0.0864844054854995	0.192575815794197	-5	-0.0716656088583596	-0.554022370665645	-0.910448117113546	-0.179076412118683	-0.497572880015567	0.522012332710706	-1.42562143558692	0.0686607276248438	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.49890175680026	1.04994292179622	0.745489360501759	-1.22482661457521	-5	0.123184993675896	0.373562956599702	-1.09550084460218	-0.754783543052331	-1.0073581301216
Healthy	1.17594965597202	-5	-5	-0.646276062411051	-0.350782007543729	-0.735347429153103	-5	-0.273215757919732	-0.569135156718541	-5	0.173171694527412	-0.897394805873433	0.285755284158876	-5	-5	-5	-5	-5	-5	-5
Healthy	0.15512947069166	-0.525041115549438	-0.719763190390311	-1.80771138743188	-1.25406684154056	-5	-5	-1.91292879409346	-5	-5	1.51293255074573	0.392802437083664	0.71023163809811	-0.118986449720917	-0.00246945725840384	0.595290048356385	-5	-0.524474084960719	-5	-0.998699066979582
Healthy	0.417541440444544	1.24239755063253	0.451102996833693	0.273739523913965	0.288548789897798	0.421169415095813	-5	0.612891887275404	-0.17292811365514	-0.561647548235674	0.638506229051029	0.109173421425472	-5	-1.18956584407733	-5	-0.822376938368645	-5	-5	-5	-5
Healthy	0.975273687344961	0.202073986725328	0.239269440429388	-0.0440093591835253	-0.249954687988233	-0.170689793224309	0.229351581311782	-0.483914356975709	-0.480618338590886	-1.4007721372262	0.537714600062506	0.991553888591571	-2.27901425584626	-0.944163148981595	-0.226637820770666	-2.22329881601159	-5	-0.879821061528885	-5	-1.43937612545007
D009765	-0.0906793665270325	-5	-5	-0.361730441792302	-5	-0.732265227678144	0.686797982569039	-0.498557303138773	-5	-5	0.662362065782734	-0.687357275116595	0.393174941537384	-0.367856647106284	-5	-0.588919288188365	-5	-5	-5	-5
D009765	1.12922925718703	0.1157169922858	0.361278202964293	0.597291411492815	0.448979792942351	0.64357603807824	-0.37766161456011	0.29662570715028	0.0291076897155371	0.0962598219989021	-0.402491293654847	-1.10974669484547	-5	-1.9079815292472	-5	-0.649093284462137	-5	-5	-5	-5
Healthy	0.164700746917783	-5	-5	-1.21041928783557	-5	-5	-5	-0.763009535346852	-1.03484535401307	-5	1.42985091338422	0.375961574885145	-5	0.21728649275249	-5	-5	-1.4367562988596	-0.890826578574528	-5	-5
Healthy	-0.670724187763545	-0.328410656604358	-0.500381640299993	-1.74424521335696	-5	-5	-5	-5	-5	-5	1.21337721940907	0.2316479611536	-0.289882634888184	0.462547728802664	-0.120462592373718	-0.434683572914379	-5	-1.55893359336074	-5	-0.722620025332745
D009765	1.25123195906542	-5	-5	-0.560067604402425	-0.529383731014106	-0.856735317988779	-5	-0.762004107228148	-0.608341671277525	-5	0.00320625754339583	-5	-0.911438688208784	-5	0.0352976285271965	-5	-5	-5	-5	-5
Healthy	0.148108857729697	-5	-5	-0.382119374409968	-1.05349860943041	0.118711029476669	-0.654998961821958	-1.08312512146132	-5	-5	-0.0191516000238053	-0.706438577324199	-0.114350477004102	-0.18746096602679	0.353773942046363	-1.98296666070122	-5	-2.24033215531037	-5	-5
Healthy	0.0479754052790859	-5	-0.835141753037445	-0.345015324964309	-1.38111551500455	-0.958054927854736	-5	-0.605846123117944	-1.51641270303111	-2.65757731917779	0.930282057987578	-0.135103446054885	-5	1.21908944179182	0.364537863140856	0.601054522316422	-5	-5	-3.38721614328026	-5
