group	Bacteroidaceae	Enterobacteriaceae	Streptococcaceae	Lactobacillaceae	Veillonellaceae	Erysipelatoclostridiaceae	Micrococcaceae		Enterobacteriaceae	Burkholderiaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	24.02211	0	0.02025	0	0	0	0		0	0.11856	0.02025	0	0	0	0	0	0	0
Healthy	36.38684	2.24934	0	0	0	0	0		2.24934	0.38935	0	0	0	0	0	0	0	0
Healthy	17.55872	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	19.20653	0.95059	0.56117	0	0.06109	0.61175	0		0.95059	0	0.56117	1.78486	11.72467	0.61175	0.06109	0	0	0.62159
Healthy	33.96172	0	0.08341	0	0.00798	0	0		0	5.13042	0.08341	0	0.01058	0	0.00798	0.06129	0	0
Healthy	34.33413	0	0.05612	0	0	0	0		0	5.22325	0.05612	0	0.04521	0	0	0.08635	0	0
Healthy	31.31901	6.53906	0	0	0	0	0		6.53906	1.43392	0	0	0	0	0	0	0	0
Healthy	39.69588	0	0.47816	0	0.15883	0	0		0	2.31024	0.47816	0.26823	0.07757	0	0.15883	0.80726	0	0
Healthy	45.83419	0	0	0	0	0	0		0	2.72043	0	0	0	0	0	0	0	0
Healthy	30.36264	2.62146	9.5205	0	0.56786	0.12614	0		2.62146	0	9.5205	0	0.19375	0.12614	0.56786	0.43647	0	0
Healthy	6.18765	0	0.58813	0	0	0	0		0	0.18887	0.58813	0	0	0	0	0	0	0
Healthy	67.43067	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	36.04502	0	0.06844	0	0.00816	0	0		0	5.04198	0.06844	0	0.02511	0	0.00816	0.10077	0	0
Healthy	73.39272	1.79721	0.09177	0	0	0	0		1.79721	0.06696	0.09177	0	0.02595	0	0	0	0	0
Healthy	49.43761	0	0.06962	0	0.21553	0	0		0	0.00362	0.06962	0	0	0	0.21553	0	0	0.20544
Healthy	17.27951	0.03177	0	0	0	0	0		0.03177	0.11739	0	0	0.00781	0	0	0	0	0
D014376	78.77845	2.51289	0.0336	0.00204	0	0.03249	0		2.51289	4.42346	0.0336	0	0.2524	0.03249	0	0	0.00204	0.01937
Healthy	60.56874	5.33933	0	0	0	0	0		5.33933	5.95538	0	0.29827	0	0	0	0.00728	0	0
Healthy	15.57342	0.50252	0.08386	0	0	0	0		0.50252	0.00293	0.08386	0.06687	0.52419	0	0	0	0	0
Healthy	32.11202	0.06854	0.30885	0.00431	0.02628	0.16383	0		0.06854	0.00066	0.30885	0	0.05298	0.16383	0.02628	0.09878	0.00431	0
Healthy	49.67118	0	0.01933	0	0	0	0		0	6.45037	0.01933	1.68323	0	0	0	0	0	0
Healthy	25.9085	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	33.87007	0.16819	0.14173	0	0.00976	0	0		0.16819	0.14799	0.14173	0	0.00557	0	0.00976	0	0	0
Healthy	30.08328	0	0.27774	0.01273	0.01316	0	0.00254		0	0.86213	0.27774	1.61096	0.03077	0	0.01316	0	0.01273	0.14257
D014376	64.39122	0.12733	0.02966	0	0	0	0.00122		0.12733	0.27545	0.02966	0	0.00121	0	0	0	0	0
D014376	94.83355	0.03508	0.00357	0	0	0	0.00274		0.03508	0.0154	0.00357	0	0.019	0	0	0.04934	0	0
Healthy	68.11255	0.77609	0	0	0.78312	0	0		0.77609	0	0	0	0	0	0.78312	0	0	0
Healthy	33.33667	0.00672	0.04004	0	0.00199	0	0		0.00672	0.22029	0.04004	0	0.02119	0	0.00199	0.00574	0	0
Healthy	44.03638	0	0.03766	0	0	0	0		0	0.03347	0.03766	0	0.00749	0	0	0	0	0
Healthy	12.48912	0.32465	0.02304	0	0.00441	0	0		0.32465	1.81278	0.02304	3.84463	1.48201	0	0.00441	0.00188	0	0.0005
Healthy	39.92659	0	0.36114	0	0.08596	0	0		0	2.33934	0.36114	0.26043	0.06644	0	0.08596	0.7776	0	0
Healthy	43.38906	0	0	0	0	0	0		0	1.44712	0	0	0.18432	0	0	0	0	0.02075
Healthy	11.16546	0	0	0	0	5.00368	0		0	0	0	0.13631	2.67906	5.00368	0	0	0	0
Healthy	37.63439	0	0	0	0.03605	0	0		0	0.06726	0	0	0.06627	0	0.03605	0.32129	0	0.15627
Healthy	67.62067	0	0.11943	0.0243	0	0	0		0	0.10798	0.11943	0	0.13293	0	0	0	0.0243	0
Healthy	9.33896	10.2792	0	0	0	0	0		10.2792	0.30043	0	0	0.13948	0	0	0	0	0
Healthy	56.6958	0	0	0	0.02171	0	0		0	2.817	0	0	0.00218	0	0.02171	0.10061	0	0.0079
