group	Prevotella_copri_A	Bacteroides_stercoris	Prevotella_stercorea	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Phytobacter_ursingii	Alistipes_senegalensis	Bacteroides_faecis	Bilophila_wadsworthia	Prevotella_copri_A	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Bacteroides_sp900066265	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Parasutterella_excrementihominis	Clostridium_Q_symbiosum
Healthy	0	0	0	0	0	0	26.8642	0.06103	0	0.0392	0	0	0	0	3.01429	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0.47683	0	0.0151	0	13.7235	0	0	0.0073	0.34008	0	0	0.01241	0
Healthy	21.8334	0.19882	0	0	0	1.27234	0.18994	0	0	0	21.8334	0	1.27234	0	0.19956	0.0672	0	0	0	0
Healthy	37.0762	0.78242	8.1663	0	0	2.05116	0	0.54005	0	0	37.0762	0	2.05116	0	0	0	0.87857	0	0	0
Healthy	0	4.77427	0	0	0	0	1.82775	0.03479	0	0	0	0	0	0	0.16639	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	14.1167	0	0	15.8139	0	0.09832	0	1.87187	0.0016	0	0	0	0	0.01332	0	0	0	0.00305	0.03226
Healthy	0	3.43418	0	0	0	0	0	0	1.26896	0	0	0	0	0	0.0201	1.26375	0	1.53536	0.12849	0
Healthy	0	0	0	0	0	0	9.34072	0.29432	0	0.07043	0	0	0	0	0.39557	0	0	0	0.00271	0.02058
Healthy	0	0	0	0	0	0	0.38656	0	0	0.00253	0	57.7019	0	0	0.00928	0	0	0	0.11966	0.44575
Healthy	0	0	0	0	0	0	2.74432	0	0	0.0383	0	13.7988	0	0	0	0	0	0	0.07877	1.11267
Healthy	0	0.03032	0	0	0	0	0.09232	0	4.96073	0	0	0	0	0	0.04734	0	0	0	0.00641	0
Healthy	0	0.00793	0	0	0	0	5.3394	0.00016	0	0.01813	0	0.02492	0	0	0.01762	0	0	0	0.01428	0.02463
Healthy	0	0	0	0	0	0	0	0.37503	0	0.02838	0	12.8006	0	0	0.01828	0.31417	0	0	0.00873	0
Healthy	5.61313	0.96243	0	0	0	0	0.00681	0.07838	0.0121	0.00834	5.61313	0.01315	0	0	0.6216	0	22.5247	0	0.00842	0
Healthy	26.4025	0	0	0	0	7.26919	0	0.00931	0.00108	0	26.4025	0	7.26919	0	1.08564	0	1.47114	0	0.08336	0
Healthy	0	1.58346	0	0	0	1.04943	1.88746	0	0.01622	0.05407	0	0	1.04943	0	1.43622	0	0	0	0	0
Healthy	64.6746	0.65139	0	0	0	0	0	0	0	0	64.6746	0	0	0	0	0	0	0	0	0
Healthy	19.2902	0	0	0	0	11.6161	0	0.0315	0	0	19.2902	0	11.6161	0	0.97938	0.72571	0	0	0	0
Healthy	0	0	0	0	0	0	2.54476	0	0	0.03517	0	12.8752	0	0	0	0	0	0	0.06262	1.42773
Healthy	0	0	0	0	0	4.79263	0	0.00941	0	0	0	0	4.79263	0	1.09596	0	0	0	0	0
Healthy	0	0.7852	0	0	0	0	0.02159	0.03946	0	0	0	0	0	0	0.12368	0.72365	0	0	0	0
Healthy	26.782	1.01841	6.447	0	0	1.45829	0	0.46272	2.31588	1.45753	26.782	0	1.45829	0	0	0.60414	0	0	0.0624	0
Healthy	0	14.0696	0	0	15.6071	0	0.04198	0	1.81196	0.00154	0	0	0	0	0.00512	0	0	0	0.00294	0.049
Healthy	1.63861	0.22316	0	0.01221	0.02398	19.33	0	0.04936	0	0	1.63861	0	19.33	0.01221	0.01327	0.06884	0	0.00215	0.04305	0
Healthy	0	0.00532	0	0	0	1.2191	0.13218	0	0	0.11107	0	0	1.2191	0	0.19987	0	0	2.21359	0.0078	0
Healthy	0.00339	7.02184	0.01826	13.6042	16.5033	6.05461	0.20678	0.00453	0	0	0.00339	0.07142	6.05461	13.6042	0.77112	0.42784	0	0	0.0461	0
Healthy	0	0	0	0	0	0	0	0	0	0.03259	0	0	0	0	0	0	0	0	0	0.02063
Healthy	0	0.6955	0	0	0	0	2.24934	0	0	0.01931	0	0	0	0	0	0	0	0	0.38935	0.63739
Healthy	0	3.6885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	18.9557	0	0.20838	0	0	0	0.92595	0	0	0	18.9557	0	0	0	5.61766	0	1.78486	0	0	0
Healthy	0	2.16825	0	0	0	0	0	0	1.44902	0	0	0	0	0	0	7.17641	0	1.90325	0.177	0
Healthy	0	2.39743	0	0	0	0	0	0	1.39971	0	0	0	0	0	0	7.00533	0	2.06708	0.21624	0
Healthy	0	0.0202	0	0.72888	0	0	6.53906	0.01252	1.29804	0.03176	0	19.5835	0	0.72888	0	0	0	0.59341	0.03166	0
Healthy	0	0	0	0	0	0	0	0	5.14479	0	0	14.764	0	0	0	0	0.26823	0	0	0
Healthy	0	20.2875	0	0	0	0	0	0.00861	1.79497	0	0	0	0	0	0.04986	3.30276	0	0	0.00178	0
Healthy	0	0	0	0	0	0	2.25779	0	0	0	0	0	0	0	0	0	0	0	0	1.83388
Healthy	2.47081	0	0	1.09425	0.10027	0	0	0	0	0	2.47081	0	0	1.09425	1.04451	0	0	0	0	0
Healthy	46.9053	0	0	0	0	4.24481	0	0	0	0	46.9053	0	4.24481	0	0	0	0	0	0	0
Healthy	0	2.42315	0	0	0	0	0	0	1.19427	0	0	0	0	0	0.01118	7.27836	0	2.17925	0.21496	0
Healthy	0	0	0	0	0	0	0.48396	0	0	0.10238	0	0	0	0	0	0	0	0	0.06696	0.15708
Healthy	0	1.79282	0	23.6438	18.0169	0	0	0.0406	0.006	0.01272	0	0	0	23.6438	0.07356	0	0	0	0	0
Healthy	0	0	0	0	0	0.39591	0.03177	0.34598	0	0.14068	0	1.93917	0.39591	0	0	0	0	0	0.02779	0
Healthy	0.76927	0	0	1.04695	0.39657	0.73433	5.33933	0.00354	0.31388	0.03537	0.76927	2.21792	0.73433	1.04695	0.21308	0	0.29827	1.32141	0	0
Healthy	0	1.4364	0	0	0	0.6692	0.50252	0.00767	0	0	0	0	0.6692	0	0.07158	0	0	0	0.00293	0.0205
Healthy	0.07335	3.51234	0	0	2.85523	1.05153	0.06854	0.00942	0.71489	0.06499	0.07335	9.24482	1.05153	0	2.63659	0	0	0	0.00066	0
Healthy	30.2506	0	0	3.69329	1.60785	1.1008	0	0.0266	0.28068	0.05635	30.2506	2.12542	1.1008	3.69329	0.381	0	1.68323	1.98414	0	0
Healthy	0	0	0	0	25.9085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	17.7649	0	0	0	0	0.16819	0.00401	0	0.05307	0	0	0	0	0.08009	0	0	0	0.14799	0
