group	Ruminococcaceae	Marinifilaceae	Erysipelotrichaceae	Enterobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Pasteurellaceae	Veillonellaceae	Eggerthellaceae	Micrococcaceae	Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	8.9483	0.9632	0.01705	0	0	0	0.07776	0	0.51129	0	0.63812	0	0	0	0	0	0.15639	0	0.51129	0.21743
Healthy	11.35242	1.07873	0.01215	0	0.00451	0	0.06544	0	0.7355	0	0.89891	0	0	0	0	0	2.66772	0	0.7355	0.24355
Healthy	12.27917	0.587	0.0136	0.04705	0	0	0.02787	0.028	0.03641	0	0.87139	2.56626	5.34871	1.24513	0	0	0.09915	0	0.03641	0
Healthy	3.55185	0.79485	0.05412	0	0	0	0	0	0	0	24.43499	0.27637	0	1.10334	0	0.07736	0.2508	0.55153	0	0.0745
Healthy	4.86156	1.04245	0	0	0.5783	0	0	0	0	0	2.45781	0	4.62199	3.76568	0	0.03571	0.1223	0	0	0
Healthy	7.68045	0	0	0.04178	0	0	0	0	0.14686	0	17.06665	2.04324	0	6.29834	0	0	0.18747	1.61864	0.14686	0
Healthy	0.47981	0	0.00569	78.76377	0.10271	0	0	0	0.00802	0	0.1997	0.05402	0	0	0	1.46902	0.05913	0	0.00802	0
Healthy	6.64148	0	0.00545	1.82617	0.01597	0.25312	0.04462	0.008	0.01042	0	0	1.5587	0	0	0	0	0.04607	0	0.01042	0
Healthy	9.53526	0	0	2.4214	0	0.16683	0.67165	2.80187	0	0	0	0.07901	5.07885	0	0	0	0.1339	0	0	0
Healthy	25.28152	0	11.3576	0	0.78156	0	0	0	0	0	0.23084	11.9056	0	1.08835	0	3.88243	0	0	0	0
Healthy	18.29438	0	0.5723	0	0.60443	0.01342	0	0	0.21516	0	0.61624	17.15839	1.99584	0	0	0.00219	0	0	0.21516	0
Healthy	2.75889	0	0	0	0	0	0	0	0	0	0.03482	0.55983	0	0	0	0.10638	0	0	0	0.42578
Healthy	8.58561	1.80602	0	0	0.00195	0	0.06709	0	0	0	15.23831	3.29959	0	0.10558	0.57278	0	1.53569	0.04203	0	0.16582
Healthy	28.78528	0.70656	0.11145	0.71302	0.03976	0.39724	0.12678	0	0	0	2.87028	0.47797	0	0.16735	0.1514	0.07817	0	0.03232	0	0.02847
Healthy	1.26394	0.79541	0.29282	1.00992	0.04975	0	0	0	0.00975	0	20.00155	0.68619	0.03571	2.88154	0	0.96563	2.15327	0.40307	0.00975	0.081
Healthy	0.82616	0	0.56328	0.1118	0.29215	0	0	0	0	0	14.67782	5.62385	0.61502	1.9336	0	1.24073	0.53887	0.80581	0	0.01499
Healthy	10.02603	0	0.57913	0	0.22287	0	0	0	0.08385	0	0.42444	0.68543	4.75712	0	0	0	0.27181	0	0.08385	0
D003922	14.58241	1.17532	0.0494	0.1546	3.29252	0.01062	0.00974	0	0.17469	0	1.61935	0.13126	2.92877	1.62644	0	0	0.05861	0.14694	0.17469	0.03395
Healthy	5.53352	1.94002	0	0	0.02321	0	0	0.01308	0	0	13.99989	0.63357	0	0	0.0264	0.38018	0.09268	0.09289	0	0
Healthy	4.09189	2.21731	0.28536	0.61563	0	0.0182	0.01449	0	0	0	8.47845	7.85793	0	3.19204	0.50179	0.22602	0.03116	0.29804	0	0
Healthy	0	0	0	86.41751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.79106	0.83263	0.0673	0	0.09358	0	0.11696	0	0.1511	0	20.27064	0	0	2.48727	0	0.02688	0.19885	0.16147	0.1511	0.04561
Healthy	0	0	0.02798	3.966	0.00367	0.02357	0.0088	0.04244	0.00219	0	0.01919	0	0	0	0	0	0.25159	0	0.00219	0
Healthy	1.07413	0	0	0.09795	0	0	0	0	0	0	1.42524	0	0	1.99692	0	0	0.08128	0	0	0
Healthy	0.74249	0.67172	0	0	0	0	0	0	0	0	15.98344	0.1764	0	3.44508	0	0.11605	1.25366	0.03182	0	0
Healthy	0.81966	0.79281	0	0	0.25024	0	0	0	0	0	15.10948	0	15.1182	12.6988	0	0.571	0.25381	0.01125	0	0
Healthy	10.96303	0	0.10518	0.08321	0	0	0	0	0.00602	0	5.89204	0.07202	0	4.55688	0	0.14202	0.08686	0.20998	0.00602	0.06628
Healthy	2.1399	0	0	0	0.00441	0	0	0	0	0	0.8965	0.07529	3.44835	0.04919	0	0.01375	0.10013	0	0	0
Healthy	3.55799	0.77438	0	0.15123	0.00552	0	0	0	0.00226	0	16.07393	0.96809	2.88164	3.20915	0.0539	0	0.02179	0.07482	0.00226	0.02796
Healthy	0.93393	0.14977	0.00711	0	0.04713	0	0	0	0	0	6.16719	0.65772	0	4.11412	0	0.13383	0.12854	0	0	0.00691
Healthy	18.12004	0.67975	0.02471	2.8125	0.04653	0.00354	0	0	0.05421	0	5.44351	2.3538	0	0.52356	0	0.24	0.48259	0.05661	0.05421	0
Healthy	0.12429	0	2.64033	0	0	0	0	0	0	0	0	0	0	0.15386	0	0	0	0	0	0
Healthy	5.30787	0.7634	0.15335	0	2.29794	0	0.08119	0.25302	0.03483	0	20.28008	1.70945	0	5.44263	0	0.23481	0.01974	0.01742	0.03483	0
Healthy	4.28916	0	1.06366	0	0	0	0	0	0	0	0.36649	5.97462	0	0.24568	3.78245	0.17433	0	0.01529	0	0
Healthy	62.9997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.43183	1.11619	0.03085	0	0.04301	0	0	0	0	0	10.3322	0	0	0.74068	0	0.24373	1.31228	0.31288	0	0.01168
Healthy	2.17847	0.87961	0.19977	0	0	0	0	0	0	0	9.98651	0.00984	0	3.25057	0.09708	0.63218	3.44475	1.50048	0	0
Healthy	5.66478	0	0.86835	0	0.9221	1.16392	3.85851	1.2947	0.0955	0	1.62392	1.33345	0.19855	0	0	0.3371	0	0	0.0955	0
Healthy	14.94631	0.23793	0.98615	0	0.15545	0	0.00058	0	0.49385	0	5.21067	14.60672	0	0.62205	0	1.97032	0.12738	0.00355	0.49385	0
Healthy	8.10271	0	0.07916	0.88276	0.38092	0.28618	0.14273	0.05609	0.18648	0.00033	6.3769	4.71234	0	0	1.82276	0	0.06706	0.01117	0.18648	0
Healthy	5.37472	0	0	0	0	0.05986	0.19515	0	0.01904	0	4.58862	6.0946	0	0	0	0.31569	0.02712	0	0.01904	0
Healthy	1.35423	0	1.5817	0	0.8025	0	0.81232	0	0	0	0	4.21521	0	0.20778	0	0	0	0	0	0
Healthy	2.67302	0	0.05851	0.0911	0.20201	0	0	0	0.51527	0	4.0178	0	0	4.13991	3.06148	3.24867	0	0	0.51527	0
Healthy	0	0	0.07394	3.81252	1.28005	0.01366	0.32966	6.23289	0.03904	0	0	0	0.05242	0	0	0	0.04332	0	0.03904	0
Healthy	8.95456	0	0.00254	0.47522	0.23032	0.17413	0.44799	1.20495	0.13451	0.0396	0	0	0	0	0	0	0	0	0.13451	0
Healthy	2.58941	0	0.49025	0.34649	0.0582	0	0	0	0.0223	0	21.39859	2.25608	2.97255	2.14547	0	0.6914	1.13938	0.66408	0.0223	0.11682
Healthy	0.93829	0	1.19138	2.71161	16.77604	0	0	0	0	0	2.14488	1.28553	0	0	0	2.27129	0	0	0	0
Healthy	8.27035	0.85088	0	0.07952	0.17892	0	0	0.05662	0.11806	0	0.92332	0	0	0	0	0	0.06439	0.06978	0.11806	0
