group	Burkholderiales	Enterobacterales	Acidaminococcales	Pseudomonadales	Desulfovibrionales		Bacteroidales	Lachnospirales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales	
Healthy	0.30473	9.88235	0	0	0.73443		13.21373	0.39047	2.47905	43.4397	0.30473	0	0.16516	0.73443	0	
Healthy	0.00578	1.36227	0	0	0		53.02912	18.56895	5.49084	1.87694	0.00578	0	0	0	0	
Healthy	0.06759	1.7727	0	0	0.02349		12.07781	37.12354	2.73472	0	0.06759	0	0.00841	0.02349	0.21189	
Healthy	0	0	0	0	0		3.61561	12.1476	0	0	0	0	0	0	0	
Healthy	0.11483	0	0.86272	0	0.31288		65.94451	2.9794	0	10.5195	0.11483	0	0.03085	0.31288	0	
Healthy	0	0	0.06803	0	1.50048		77.56292	4.23484	0	0	0	0.09708	0.30044	1.50048	0	
D001528	1.25228	0.06466	0.00814	0	0.028		69.16648	1.12549	0	0	1.25228	0	0	0.028	0	
Healthy	0.04694	0	0	0	0		29.81266	37.98924	0	0	0.04694	0.67796	1.28214	0	0	
Healthy	0.0586	3.85851	0	0	0		22.77193	13.98492	1.49325	0	0.0586	0	0.86835	0	1.16392	
Healthy	0.02805	0.37113	0	0	0.01044		76.63304	1.82519	9.09907	0	0.02805	0	0.09797	0.01044	0	
Healthy	0.00403	1.0041	0	0	0		45.48252	13.89714	0.9075	0	0.00403	0	0.59342	0	0.21255	
Healthy	0.09116	0.00058	0	0.32517	0.00355		10.42839	22.45504	0	6.51919	0.09116	0	2.20829	0.00355	0	
Healthy	0.01246	0.02894	0	0	0.08483		66.78557	2.50994	0.3738	0.63345	0.01246	0	0	0.08483	0	
