group	Lachnospiraceae	Ruminococcaceae	Streptococcaceae	Veillonellaceae	Lactobacillaceae	Pasteurellaceae	Oscillospiraceae	Eggerthellaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	4.47133	7.83113	0.0109	0	0	0	0.04391	0.06556	0	0	4.47133	20.6628	11.74687	0.00825	0	1.42197	0.0109	0.0032	0	0.04067
Healthy	4.96469	8.98741	0.25644	0.01956	0	2.29054	0.00521	0.00368	0.00715	0.09932	4.96469	6.05686	0	0.00409	0	0.0035	0.25644	0.03527	0	0
Healthy	26.02253	8.82855	0.54071	0.01217	0	0.19393	0.52013	0.20396	0.06233	0.0908	26.02253	5.4983	4.72778	0.02165	0	0.00678	0.54071	0.02503	0	0
Healthy	15.93214	17.63019	2.28461	0	0.003	0	0.01037	0.3762	0	0	15.93214	4.42938	0.10521	0	3.89693	0.0093	2.28461	0.08713	0.003	0.13753
Healthy	13.86684	4.71969	0	0	0	0	0.14019	0.06226	0	0.12217	13.86684	17.14519	2.58589	0	9.5509	1.16431	0	0	0	0.03883
Healthy	13.69074	3.75877	0.19801	0.29998	0	2.77557	0.1008	0	0	0	13.69074	6.97937	0	0	1.10706	1.07698	0.19801	0	0	0
Healthy	5.4809	4.47824	0	0	0	0.12423	0.0164	0	0	0	5.4809	11.84445	0	0	0	0.10417	0	0	0	0
Healthy	5.82858	2.57906	0.06404	0	0	0	0.13021	0.00026	0	0.0709	5.82858	0.51449	0	1.37665	0	0	0.06404	0	0	0
Healthy	7.62617	8.38082	0	0	0	0	0	0.09067	0	0	7.62617	23.13099	0.08852	0.04487	1.61717	0.39005	0	0	0	0
Healthy	2.05337	4.26482	0.00291	0.20284	0	0.23479	0	0	0	0	2.05337	28.97505	2.07785	0.36631	2.7737	0.013	0.00291	0	0	0
