s	Phocaeicola_vulgatus	Bacteroides_stercoris	Phytobacter_ursingii	Dialister_invisus	Enterocloster_sp900540675	Enterocloster_clostridioformis_A	Veillonella_parvula_A	Ruminococcus_B_gnavus	Clostridium_Q_symbiosum	Veillonella_atypica	Flavonifractor_sp000508885	Muricomes_sp000509105	Enterocloster_asparagiformis	Enterocloster_sp000155435	Enterocloster_citroniae	Veillonella_dispar_A	Ruminococcus_H_sp003531055	Lachnospira_eligens_B	Barnesiella_intestinihominis	Alistipes_shahii	Roseburia_sp900552665	Alistipes_obesi	Mediterraneibacter_lactaris	Alistipes_A_indistinctus	Coprococcus_A_catus	Adlercreutzia_equolifaciens
Healthy	0.430231515347259	1.30804999825782	-5	0.650990004544447	-5	-5	-0.884123335731555	-5	-5	-0.771035322594839	-5	-5	-5	-5	-5	-5	-5	0.00153901527207287	0.0441750821728493	-0.130404564265568	-0.30607089624875	-0.466507565804809	-5	-5	-5	-5
Healthy	1.17912676742507	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.0991106440937158	-5	-1.47288588836019	-0.318252381060701	-5	-5	-0.721955563467119	-5	-5
Healthy	0.850293878845634	1.10119732988809	0.138826693810669	-5	-1.39179499229567	-5	-5	-1.27474193364004	-1.39913596369016	-5	-0.885322308989122	-1.62911698322239	-5	-3.52287874528034	-1.71987710369769	-5	-5	-2.60906489289662	-5	-0.498488868275975	0.423519475201604	-5	-0.131478991648433	-0.748410442724219	-0.966495827054825	-5
Healthy	-0.0658855135638426	0.937421092737341	-1.34794715175189	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.42181939037222	-0.251680153604796	0.208758361685043	0.141528158831941	0.15792194237355	0.142370692176375	0.0872879436597634	-1.72978714510376	-5	-1.04248848854552
Healthy	0.602458273830937	-5	-0.436139369480359	0.396140041792131	-5	-5	-0.985311488127662	-5	-5	-1.05492551152127	-5	-5	-5	-5	-5	-1.94653739507454	0.317616282741985	0.139866497972942	0.44306105227313	-0.0380049724146412	-5	0.544653326921122	-0.740477792783808	-0.691691757001774	-5	-5
Healthy	1.01219627301531	-5	0.328275604985012	-0.847558761941045	-0.141853963870512	-5	-2.08354605145007	-1.28449805470672	-2.08884239126002	-5	-1.30574588797472	-2.31605286924849	-1.88941028970075	-1.72839069862117	-1.60240756596188	-5	-5	-0.964490214910441	0.453769221661935	-5	-1.02821406212089	-0.393489655682813	-0.145627148802295	-1.37253172754029	-5	-0.640126589667258
Healthy	-0.195676525802456	1.55251746421884	0.0261940310141587	0.968602946685977	-0.667581740297515	-1.4068247365219	-5	-1.95078197732982	-5	-5	-1.07211658966929	-5	-2.13489602535887	-1.72908836058952	-5	-5	-0.265256160417462	-1.51060407827287	-5	-0.134588040278472	-5	-5	-5	-5	-2.1681302257195	-5
Healthy	0.872028588891106	-0.967300672507382	-5	-0.568845390947756	-5	-5	-2.67778070526608	-1.26472055193954	-5	-5	-5	-5	-5	-5	-5	-5	-1.36815053784018	0.0792065791535274	-0.291451634869439	-0.0335766540563069	0.442352754633512	0.0178677189635057	-0.159969223255701	-5	-0.952374722418216	-1.27761290582288
Healthy	-5	-5	-5	-5	-5	-5	-5	-1.57495512544861	-5	-5	-5	-5	-5	-5	-5	-5	1.51179128078787	0.165561841672486	-5	-5	0.546949623822047	-5	0.0561804233421404	-5	-0.236939065468551	-5
D003424	0.709485358329738	1.28034864340806	-1.71421772622061	-1.41702807089519	-5	-5	-5	-5	-5	-5	-2.15989390554324	-5	-5	-5	-5	-5	-5	-0.6710702310521	0.467165447189217	-2.20971483596676	0.194880493377728	-1.02599520310259	-5	-5	-1.72561120444962	-5
Healthy	0.9775164660035	-5	-0.366875075889939	0.52424289104247	-1.33526403148129	-5	-1.62653627836763	-1.84618513565547	-0.360174972704213	-5	-0.755401298671133	-5	-1.11345287660889	-1.90587840415944	-5	-5	-5	-5	-5	-5	-0.367633828104151	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	0.150049945162385	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.480926328284688	0.657380973694551	-5	0.448004080951392	-0.104969932883181	-0.143464440868166	-5	-5	-1.01488802046065	-5
Healthy	-5	-5	-5	-5	-0.691841259640312	-5	-5	-5	-5	-5	-5	-1.15782777061438	-0.943705112923772	-1.92154318194671	-5	-5	-5	0.203065539507633	-5	-0.196904947300362	-5	-5	-0.981299501333757	-5	-5	-0.291324207273463
Healthy	-5	-5	-5	-5	-0.556314661183027	-5	-5	-5	-5	-5	-5	-1.04817696468409	-0.944010416614309	-1.85047298624565	-5	-5	-5	0.267497913624362	-5	-0.0627178745145732	-5	-5	-0.908403379189942	-5	-5	-0.133411418224968
Healthy	0.137021615898142	-5	-1.32734807716	0.72824986361987	-1.93404701968613	-5	-1.55268689117643	-2.02872415126189	-5	-5	-1.11322735694556	-5	-5	-5	-5	-5	0.409302347027763	0.336689828945852	0.0952181850134257	-3.08092190762393	0.246441951406142	-5	-0.648803000057303	-5	-1.49403648198187	-1.4386600585411
Healthy	0.87053733375855	0.405086696401967	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.558493387505885	0.178202580412846	0.0427132993461132	0.536882779809035	0.340450064038849	0.393266261779125	-5	-1.05041484867335	-1.97551433230083	-5
Healthy	0.898748211746831	1.29736235299197	-5	0.66482994114309	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.245949961864031	0.575844565061737	-0.100650147031666	0.41959891901846	-0.036816829183588	-0.450653363994239	-2.50445566245355	-5	-5
Healthy	-0.0721729952128367	-5	-1.37892762885637	-5	-0.461941794091605	-5	-5	-5	-5	-5	-5	-5	-0.564187474954163	-1.3829996588791	-5	-5	0.0281033615503056	-5	0.79922679076308	0.318893546714187	-5	0.351051881993707	-5	-5	-5	-0.833066905128846
Healthy	-5	-0.286618674279509	1.89599796400921	-5	-1.43711261870612	-2.31425826139774	-5	-1.1332992439575	-2.94309514866353	-5	-1.488517711374	-2.22841251911874	-5	-5	-5	-5	-5	-5	-5	-1.84771165561694	-5	-5	-0.5269804216339	-1.39544996742874	-5	-5
Healthy	1.26282612970281	-5	-0.441783588718997	-5	-1.40274371707486	-5	-2.24795155218056	-1.04464904263234	-1.05408848318073	-2.73518217699046	-1.33648752958484	-2.57511836336893	-1.39544996742874	-2.28066871301627	-1.88605664769316	-3.26760624017703	0.192765321657618	0.736685670017578	-5	-5	1.0077098075699	-5	-5	-5	-5	-5
Healthy	0.498400160866406	-5	0.357637596441834	0.705766241561525	-0.0503124328063712	-2.24718356881173	0.305647964376237	-2.1765257708297	0.272899345665486	-0.188244075783985	-0.873186989958447	-0.251060363668677	-1.12285911021518	-1.54363396687096	-1.94962024373854	-0.878604319292776	-2.88272870434424	-0.956166345866853	-5	-5	-0.759425792981615	-5	-5	-5	-5	-5
