group	Bacteroidaceae	Enterobacteriaceae	Marinifilaceae	Pasteurellaceae	Lactobacillaceae	Veillonellaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Ruminococcaceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	25.45826	2.17787	0	0	0	0	0	0	1.92975	0.5084	25.45826	10.05209	0.22601	1.76152	0	0.1394	0	0	0	0
Healthy	52.38883	0	0	0	0	0	0	0	0.0123	0	52.38883	1.40551	0.89222	1.69946	0.0024	2.68902	0.15651	0	0	0.04008
Healthy	36.05486	0	1.39468	0	0	0	0	0	0	0	36.05486	27.22336	0	4.03444	0	0	1.28454	0	1.39468	0.12367
Healthy	62.4949	0	0	0	0	0	0	0	0	0	62.4949	1.60969	0.0863	1.95304	3.23865	0	0.26069	0	0	0.01668
Healthy	18.8565	6.37382	0	0	0	0	0	0	0	0	18.8565	3.58402	0	2.08417	0	0.67267	0.03316	0.54614	0	0.66922
Healthy	52.84841	0	1.1273	0	0	0	0.09037	0	0	0	52.84841	2.37657	0	1.16581	0	0.98973	0.01474	0	1.1273	0
Healthy	24.95525	0	0	0	0	0	0	0	0	0	24.95525	0.69262	0	0	0	3.37828	0.1002	0	0	1.66202
Healthy	31.29799	0	1.03345	0	0	0	0	0	0	0	31.29799	1.051	0.09522	2.05761	0.59117	4.44353	0	15.6428	1.03345	0.0234
Healthy	31.97894	16.4109	0	0	0	0	0.35363	0	0	0	31.97894	1.09293	0	1.90474	0	4.1818	0.04035	0.32705	0	0
Healthy	73.8556	1.67377	0	0	0	0	0	0	0	0	73.8556	2.47447	0.22191	8.83823	0	2.56053	0.08025	0	0	0.96798
Healthy	11.09524	0	0	0	0	0.875	0	0	0	0	11.09524	2.97284	0	0.90553	4.25365	0.46476	0	3.21156	0	0
Healthy	13.88747	0	1.1161	0	0	0	0.28594	0	0	0	13.88747	4.90963	4.33814	1.56111	0	7.54657	1.15039	0.11285	1.1161	0.04687
Healthy	52.38316	0	0	0	0	0	0	0	0.02018	0	52.38316	1.40013	0.99456	1.80397	0	2.77145	0.19017	0	0	1.6631
Healthy	55.62337	0.02833	0.99432	0.01062	0	0.22337	0	0	0	0	55.62337	2.20024	0.6206	5.15553	6.31044	6.22598	0.29889	0	0.99432	0.69402
Healthy	7.9325	1.75061	0	0	0	0	0	2.57172	0	0	7.9325	2.60289	22.56278	0.24212	2.39552	0	0	1.04718	0	0
Healthy	35.33617	6.48387	0.59341	0.03449	0.13116	0.00473	0.04743	0	0	0.00149	35.33617	2.1367	5.05257	0.50003	0	0	8.98905	0	0.59341	0.00299
Healthy	16.50866	0.43307	1.76986	0.24747	0	0.26113	0	0	0	0	16.50866	8.45186	1.8504	16.59372	1.6894	1.04793	2.89444	0.14447	1.76986	0.09104
Healthy	0	0	0	0	0	0	0	0	0.3691	0	0	2.77059	4.24856	0	0	0	0	0	0	0
Healthy	27.78473	0	0.74523	0.40379	0.11797	0.02688	0.20194	0	0	0	27.78473	16.37696	0	1.73068	5.34705	1.42232	0	0.15253	0.74523	0
Healthy	55.27272	0	0	0	0	0	0	0	0	0	55.27272	2.03873	0.38779	1.43325	6.35013	0	0.12857	0	0	1.74357
Healthy	48.31908	0	0.77418	0.01729	0	0	0	0	0	0	48.31908	2.08575	0.49252	2.34465	0	1.7863	5.95389	0	0.77418	0.02547
Healthy	54.92267	0.6727	0.78479	0	0	0.00129	0.05314	0.06095	0	0	54.92267	1.01248	0	0.44147	0	0	0.04209	0	0.78479	0.00454
Healthy	21.6074	12.8542	2.25825	0	0	0	0	0	0	0	21.6074	5.16023	0	3.29162	11.5958	0.89589	0.37574	0.60936	2.25825	0
Healthy	23.01477	0.00825	2.31492	0	0	0	0	0	0.06556	0	23.01477	7.83113	0	6.53852	0.22524	0	1.42197	0.01981	2.31492	0.04391
Healthy	50.28392	0.00409	0	2.29054	0	0.01956	0.09932	0.00715	0.00368	0.02165	50.28392	8.98741	5.15639	0	0	0	0.0035	0	0	0.00521
