p	Proteobacteria	Firmicutes	Bacteroidota	Firmicutes_A	Actinobacteriota	Firmicutes_C	Verrucomicrobiota	Methanobacteriota	Desulfobacterota
Healthy	-0.98175733254209	-1.61834351741421	1.49356427633227	1.1086857570507	1.55968822648657	1.11346904426635	-1.48043449911949	-5	-2.12090412049993
Healthy	-0.496658819638013	0.70645576145229	1.33045943275192	1.54941111098063	0.994543261341179	0.66441066625717	-5	-5	-5
Healthy	1.02127904398954	-0.867996607013368	1.12349589629023	0.806771975129058	0.133308926879325	0.415260555485293	1.64334813711979	-5	-0.341931337516564
D007234	1.30481332813037	1.58422229779555	-5	-1.36532124782132	-0.453617758995591	0.913841921729706	-5	-5	-5
Healthy	-1.01963297381522	-1.16304326294045	1.81791352489197	0.89347657602406	-0.379343520180379	-0.0941232027331172	1.01745114670004	-5	-0.470454157138276
Healthy	0.410654095544502	-0.0665886443976464	1.66387781019517	1.42169044813617	0.514375063032711	0.776590780723774	-0.996582554797806	-5	-2.90308998699194
D007234	1.18685805745454	0.906323726292766	1.11288673240206	0.232398862462542	1.74231365249292	-2.67366413907125	-5	-5	-5
Healthy	-0.748994826506365	-1.64820369310298	1.84899289555575	0.516286756742558	-0.554146810346125	0.7701993436501	-5	-5	-5
Healthy	-0.55695617135166	-0.758055266755733	1.6475331865481	1.04352810361786	0.781865190611418	1.24868546482757	0.850736882398385	-5	-0.960942981966556
Healthy	-1.64936439174105	0.716771865592201	1.56000304445673	1.62673639063625	-0.586767313605483	-2.33161408331	-5	-1.60800692774029	-5
Healthy	-5	-5	1.25952794138506	1.74560717886567	0.883480867366019	0.706197853673996	-5	-5	-5
Healthy	-5	0.292838433016156	1.62839833114676	1.61067634238685	-5	0.339403735860026	-5	-5	-5
Healthy	-0.759026648159996	-1.33236029394359	1.80403694856363	1.21357804935372	0.0661767857720065	-1.72422809983507	-5	-5	-1.29713882942707
Healthy	0.631860613368897	-1.88840147511961	1.96760834270013	0.33969584950589	-5	-5	-0.259479413946335	-5	-5
Healthy	0.408553697586891	-0.293982431100993	1.69670438392489	1.51071574552102	-0.127278637804058	0.0857185951654024	-0.410754324947494	-5	-0.970291637485105
Healthy	0.411840163863845	-0.984305011473482	1.71218039327238	1.64177295694328	-1.94195376960472	0.0614600188564993	-5	-5	-5
Healthy	0.387935910763123	-5	1.85173953724011	0.539787206963553	-5	-5	-5	-5	-1.50265561898242
