group	Gammaproteobacteria		Bacteroidia	Gammaproteobacteria	Verrucomicrobiae	Methanobacteria	Desulfovibrionia	
Healthy	0.80756		71.1126	0.80756	0.70914	0	0	
D001172	0.4543		48.57414	0.4543	0.03007	0	0.10404	
Healthy	16.31031		20.00069	16.31031	0	0	0	
Healthy	0.16402		78.57875	0.16402	0	0	0.0016	
Healthy	2.53961		49.82563	2.53961	0	0.0691	0.01993	
Healthy	1.07337		64.93079	1.07337	0	0	0.40904	
Healthy	14.84018		39.03604	14.84018	0.3477	0.07517	0.18958	
Healthy	0.50622		88.7654	0.50622	0	0	0.00253	
Healthy	2.98359		79.91048	2.98359	0	0	0.0383	
Healthy	1.52766		64.14272	1.52766	0	0.17643	0.13826	
Healthy	5.42452		38.36526	5.42452	1.4567	3.08044	0.35495	
Healthy	7.93719		72.02697	7.93719	0	0	0	
Healthy	0.70627		80.84169	0.70627	3.57301	0	0.02838	
Healthy	0.89157		25.1195	0.89157	0.69873	0	0.37016	
Healthy	0.07799		54.63981	0.07799	0	0	0	
Healthy	33.36608		10.18654	33.36608	0	0	0.01308	
Healthy	0.08336		55.82578	0.08336	0.01236	1.90301	0	
Healthy	0.00387		74.51959	0.00387	0.18063	0.08662	0.01052	
Healthy	3.26884		27.29133	3.26884	1.26245	0.42914	0.05407	
Healthy	0		78.2146	0	0	0	0	
Healthy	1.59314		87.04731	1.59314	0.01119	0	0.09024	
Healthy	2.03249		64.69453	2.03249	0	0	0.03475	
Healthy	2.02485		25.91966	2.02485	0.91213	0.69324	0	
Healthy	2.81094		79.61067	2.81094	0	0	0.04609	
Healthy	13.47374		27.00068	13.47374	0	0	0	
Healthy	4.97444		37.12973	4.97444	11.2789	2.63237	0.02769	
Healthy	0.3539		46.96026	0.3539	0.6796	0.18105	0	
Healthy	16.25242		1.81896	16.25242	0	0	0	
Healthy	0.82336		39.43204	0.82336	0	0	0	
Healthy	1.51551		33.30529	1.51551	0	0	0	
Healthy	0.0624		69.58044	0.0624	0	0.02876	1.64987	
Healthy	1.68973		40.03673	1.68973	1.93009	0	0	
Healthy	0.29516		30.67102	0.29516	0	0	0.12396	
Healthy	0.50497		20.07762	0.50497	2.14355	1.10419	0	
Healthy	0.11479		77.68829	0.11479	0	0	0.00154	
Healthy	0.93353		82.81448	0.93353	0	0	0	
Healthy	24.89631		15.43674	24.89631	0	0	0	
Healthy	0.40338		22.24715	0.40338	0.00565	0	0.00228	
Healthy	0.75298		67.57796	0.75298	1.25337	0.15968	0.00643	
Healthy	0.49762		57.57644	0.49762	0	0	0.03148	
Healthy	0.23086		78.92345	0.23086	0	0	0	
Healthy	5.38059		20.02427	5.38059	0	0	0.04423	
Healthy	0.39111		61.68826	0.39111	0.6598	0	0	
Healthy	0.13998		56.32307	0.13998	0	0.1953	0.11107	
Healthy	0.60556		62.5651	0.60556	0	0	0	
Healthy	0.33854		54.50758	0.33854	0	0	0	
Healthy	0.11856		43.3074	0.11856	0	0	0.03259	
Healthy	2.63869		72.56282	2.63869	0	0	0.05179	
Healthy	0		90.445	0	0	0	0	
Healthy	0.5481		45.99729	0.5481	0.15608	0	0.64154	
Healthy	0		22.69552	0	0	0	0	
Healthy	0.95059		19.20653	0.95059	0	1.04804	0	
Healthy	5.19171		61.23649	5.19171	0	0	0.14748	
Healthy	6.09648		29.55664	6.09648	20.4633	0.52052	0.66615	
Healthy	0		53.25361	0	0	9.59731	0	
Healthy	0		39.25094	0	0	0	0	
Healthy	5.3096		61.52382	5.3096	0	0	0.14814	
Healthy	7.97298		61.23341	7.97298	0.79293	0	0.33399	
Healthy	11.58272		66.71114	11.58272	0	0	0.01268	
Healthy	3.1175		60.29015	3.1175	5.96611	0	0	
Healthy	0.67533		45.16251	0.67533	1.22439	0	0.31666	
Healthy	2.72043		60.90446	2.72043	0.05654	0	0	
Healthy	1.19625		38.84305	1.19625	0.72343	0	0.04387	
Healthy	3.05793		38.99953	3.05793	0	0	0	
Healthy	11.93493		65.83018	11.93493	0	0	0.0451	
Healthy	0		34.12652	0	0	0	1.05946	
Healthy	53.78046		34.44254	53.78046	0	0	0	
Healthy	0.18887		16.03709	0.18887	0	0	0	
Healthy	17.20532		4.01644	17.20532	0	0	0.00259	
Healthy	0		72.96854	0	0	0	0	
D001172	4.66522		49.52981	4.66522	0	0	0.01314	
Healthy	12.20603		22.07556	12.20603	1.0315	3.86897	0.28891	
Healthy	5.14275		63.08919	5.14275	0	0	0.20481	
Healthy	1.86417		86.49669	1.86417	0	0	0.10238	
Healthy	0.65084		81.14162	0.65084	3.38056	0	0	
Healthy	0.00362		62.46336	0.00362	0.69377	0	0.01272	
Healthy	0.14916		50.72942	0.14916	12.3504	0	0.97352	
Healthy	11.30199		65.12554	11.30199	5.12023	0.54418	0.06167	
Healthy	0.50545		45.519	0.50545	0.14545	0	0.65801	
Healthy	0.16798		38.42566	0.16798	0	0	0.06499	
Healthy	0		40.93628	0	0	0	0	
Healthy	6.45037		57.43447	6.45037	1.67518	0.24888	0.05635	
Healthy	0		25.9085	0	0	0	0	
Healthy	0.31618		60.72875	0.31618	0.87803	0.94585	0.37818	
Healthy	0		24.97887	0	0.86696	1.41679	0	
Healthy	0.86213		39.65412	0.86213	0	0	0.24869	
Healthy	0.88681		45.05654	0.88681	0.54241	2.97451	0	
Healthy	14.15059		0.71756	14.15059	0	0	0	
Healthy	0.12314		57.8648	0.12314	0	0.0738	0.07513	
Healthy	0.77609		68.11255	0.77609	0	0	0	
Healthy	0.23275		51.31828	0.23275	0.00032	0	0.24608	
Healthy	1.99467		50.39368	1.99467	0.07023	0	0.0028	
Healthy	0		1.76456	0	0	0	0	
Healthy	0.24294		53.77834	0.24294	0	0	0.08538	
Healthy	0.19898		89.98095	0.19898	0	0	0.00504	
Healthy	0		33.7514	0	0	0	0.91704	
Healthy	0.03347		61.18119	0.03347	0	0	0	
Healthy	0.27214		68.96628	0.27214	0	0	0.15746	
Healthy	2.13931		26.18248	2.13931	1.83282	0	0	
Healthy	3.11694		60.2623	3.11694	5.82674	0	0	
Healthy	0.0679		37.14462	0.0679	1.4189	4.86383	0.00017	
Healthy	2.40753		60.18214	2.40753	0	0	0	
