o	Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Lactobacillales	Selenomonadales	Coriobacteriales	Enterobacterales	Desulfovibrionales	Pseudomonadales	Peptostreptococcales	Methanobacteriales	Acidaminococcales
Healthy	1.72528954175842	0.930982632957629	1.43732001753566	-5	-0.846063245539065	-5	-1.78727984558216	-5	-1.43168091490489	-5	-5	-5	-5
Healthy	1.4858262973554	0.663210772256511	0.72309347214351	-5	-0.669342765288606	-5	-5	0.804400475980121	-0.183427303973897	-5	-5	-0.262688062010375	0.00220927298801476
Healthy	1.64796730935212	0.518965108499921	0.407616916750889	-5	-5	-5	-0.991357252434715	-5	-1.24123945609002	-5	-5	-5	-5
Healthy	1.59439929128072	1.38272503194164	0.0911250702741142	-1.02122621566988	-5	-5	-1.15851539066461	-5	-1.57528166266843	-5	-5	1.19431477032722	-1.93404701968613
Healthy	1.61538794443253	1.10938143304344	0.57601176039378	-5	-5	-5	-5	1.21513266374785	-5	-5	-0.45143861810245	-0.48537256758866	-5
Healthy	1.93830958188606	0.607349921956901	0.55572426305758	-0.65380355627079	-1.20453710560962	-5	-5	0.223698374168054	-1.0073581301216	-5	-5	-5	-5
Healthy	1.09571109663366	1.77027099352016	0.970597429985983	-5	-0.938698343793955	-5	-5	-5	-5	-5	-5	0.506717392419689	-5
Healthy	1.88332170105324	0.475268662137219	0.58623500074467	-0.207181230830761	-5	-5	-0.719763190390311	-1.40938105179342	-0.998699066979582	-5	-5	-5	-5
Healthy	0.990601217280949	1.20174796898831	0.939670480570701	1.35339280128144	1.19620051148431	-5	0.451102996833693	0.243191885767495	-5	-5	-5	0.0200254863257827	-5
Healthy	1.62516320091162	1.17840854131628	0.615904832201299	0.704108458618344	-0.329717029325588	-5	0.239269440429388	0.814139008537479	-1.43937612545007	-1.80631897045872	-1.32385531964379	-5	0.335862919556807
Healthy	1.83470604885608	0.469372767370689	0.642089420697162	-0.411392195257313	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.87756621627172	0.52023716615483	0.324535548461467	-0.30756731148585	-5	-5	-0.500381640299993	-1.7619538968712	-0.69216179584344	-5	-5	-5	-5
Healthy	1.52954173713065	0.670205020049456	0.851485834970511	-5	-5	-5	-5	1.10904539072735	-5	-5	-5	-0.21511893041391	-5
Healthy	1.72075193832482	0.650437694808689	1.29274150073038	-5	-1.96217524941166	-5	-0.674217602484195	-2.08301995267962	-1.03428102975578	-5	-5	-1.70289634985074	-5
Healthy	1.75082293228829	0.695893010680155	0.953886724819663	0.714166239729455	-0.561172961277832	-5	-2.43297363384094	0.360714559905001	-5	-5	-1.00291956452827	-5	-5
Healthy	1.30595723893257	1.41534968477539	1.14957133353778	0.992401068294658	-0.267027566564563	-5	-0.690433704106227	-0.666371387481309	-1.17947015147648	-5	-1.04186632432376	-5	-5
D037841	1.73327584843973	1.29635405379818	0.976524212161707	-0.266441641950357	-0.12404212086317	-5	-0.410575441904407	-1.07654873036035	-1.74666199467389	-5	-5	-5	-5
Healthy	1.54381968098756	1.20227438660659	1.2490950931314	-0.135524518308971	0.359383884802275	-5	0.045334716316743	-5	-0.548014111051091	-5	-5	-5	0.352346553933043
Healthy	1.73847446323237	1.14197781774328	0.871910199999814	0.412347969086344	-5	-5	-0.35269528819389	-5	-5	-5	-0.912999879204009	-0.265648292705235	-5
D037841	1.81319662468796	1.02218414076548	0.603805599490242	-0.439292523448538	-1.59380057633669	-5	-0.520568662802263	-0.729647298223817	-5	-5	-3.56863623584101	-5	-5
Healthy	1.82034604693572	1.13642724009451	0.586540047260709	-0.29654525468797	-0.703290943824397	-5	-5	0.443353749433271	-1.70929775671215	-5	-5	-5	-5
