group	Bacteroidaceae	Enterobacteriaceae	Dialisteraceae	Veillonellaceae	Oscillospiraceae	Erysipelatoclostridiaceae		Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
D003424	68.04792	0	0	0	0.06399	0		6.22605	0	0	0	0	0	0.06399	0.00175	0	0
Healthy	21.04416	0	0.19855	1.2947	0	0		1.62392	1.33345	0.19855	0	0	0.3371	0	0	0.0955	0
Healthy	3.37515	0	0	0	0.12738	1.22214		5.21067	14.60672	0	0.62205	0	1.97032	0.12738	0.00355	0.49385	0
Healthy	37.40606	0.88276	0	0.05609	0.06706	0.04188		6.3769	4.71234	0	0	1.82276	0	0.06706	0.01117	0.18648	0
Healthy	44.30969	0	0	0	0.02712	0		4.58862	6.0946	0	0	0	0.31569	0.02712	0	0.01904	0
Healthy	57.65788	0	0	0	0	0.22354		0	4.21521	0	0.20778	0	0	0	0	0	0
Healthy	10.76303	0.0911	0	0	0	0		4.0178	0	0	4.13991	3.06148	3.24867	0	0	0.51527	0
Healthy	0	3.81252	0.05242	6.23289	0.04332	0		0	0	0.05242	0	0	0	0.04332	0	0.03904	0
Healthy	22.0643	0.47522	0	1.20495	0	0.05781		0	0	0	0	0	0	0	0	0.13451	0
Healthy	15.46975	0.34649	2.97255	0	1.13938	0		21.39859	2.25608	2.97255	2.14547	0	0.6914	1.13938	0.66408	0.0223	0.11682
D003424	36.9756	0	0	0	0.20696	0.01457		10.89684	0.00192	0	2.31895	0	0.2508	0.20696	0	0	0.67234
Healthy	15.45515	2.71161	0	0	0	2.91725		2.14488	1.28553	0	0	0	2.27129	0	0	0	0
Healthy	58.28202	0.07952	0	0.05662	0.06439	0		0.92332	0	0	0	0	0	0.06439	0.06978	0.11806	0
Healthy	19.05947	0.08088	12.9858	0	0.07299	0.02407		8.27981	5.52631	12.9858	2.67909	0	1.0791	0.07299	0.00756	0	0
Healthy	14.09378	0.03375	4.58123	0.0363	0	3.67433		0.57703	0.00231	4.58123	3.83289	0	4.32512	0	0	0.00776	0.00357
Healthy	9.11642	10.2181	2.60171	0	0.10104	0		1.20878	1.98079	2.60171	0	0	1.19682	0.10104	0.45505	0.15215	0
Healthy	53.17229	0	0	0	1.33726	0		9.70905	0	0	0.76415	0	0.28366	1.33726	0.33848	0	0.01321
Healthy	31.38157	0.06381	5.94604	0	0.05911	0		10.36282	0.07926	5.94604	1.78582	0	0.7939	0.05911	0.00124	0.04004	0.02264
Healthy	54.35535	0.06157	5.89113	0	0.00889	0		14.5598	0.17536	5.89113	0	0	0	0.00889	0	0.00233	0
Healthy	29.52946	0	17.7048	0.02424	1.06876	0		4.97954	4.53107	17.7048	5.12769	0	0.67999	1.06876	0.1094	0.02894	0
Healthy	27.07981	0	0	0.00465	0.08893	3.85188		1.25534	0.10581	0	0.39095	0.02465	0.05868	0.08893	0	0.00077	0
Healthy	16.90852	0	5.0839	0	0	0		1.26871	11.7396	5.0839	0	0	1.71217	0	0	0	0
Healthy	39.98426	0	0	0	0	0.83359		1.04566	3.13501	0	0.7484	0	0	0	0	0	0.49074
Healthy	51.95529	0	0.01411	0	0.04979	0		7.21136	0	0.01411	2.78245	0	0.20882	0.04979	0.05044	0.02643	0
Healthy	92.81289	4.2841	0	0	0.08548	0		0	0	0	0	0	0	0.08548	0	0	0
Healthy	33.16603	0	1.21706	0	0.08577	0		10.80823	0.49975	1.21706	1.35632	0	0.12154	0.08577	0.10707	0.00714	0.07048
Healthy	51.54426	0.27184	0.62783	0.52418	0.24252	0		0	0.25985	0.62783	0	0	0	0.24252	0	0	0
Healthy	36.08333	2.0968	0	0	0.2224	0		11.04018	0	0	3.09629	0	0	0.2224	0.03142	0	0
Healthy	24.83972	0	5.62249	0	0	0		0.61666	6.32555	5.62249	1.05966	0	0	0	0	0	0
Healthy	6.66863	0.09698	0	0.00396	0.10294	1.22303		5.54226	1.73318	0	0.15532	0.18576	0.15766	0.10294	0.08154	0.00932	0
