group	Oscillospirales	Enterobacterales	Pseudomonadales	Peptostreptococcales		Bacteroidales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Desulfovibrionales	
Healthy	4.41833	0	0	0		67.57311	0	10.3129	0.08094	0	0.19444	
Healthy	6.37802	1.06216	0	0		54.50736	9.30256	7.16262	0.2712	0	0.17895	
Healthy	38.2343	0.01462	0	0		36.60204	0.27195	0.03189	1.85847	0.05897	0.14804	
Healthy	54.60222	0	0	0.26971		2.1963	0	0	0	2.07917	0	
Healthy	19.8016	0.24052	0	0.05592		40.07286	0	0	0	0.71531	0	
Healthy	17.27172	0.02631	0	0.05482		57.19092	0	0	0.39081	0	0	
Healthy	1.47786	0.42965	0	0		88.99303	3.36743	0	0.11156	0	0	
Healthy	0.02963	15.6337	0.21254	0.04787		0.0487	0.00048	0	0	0	0	
D001172	14.2332	0.21652	0	0.00628		60.36631	0	0	0.27939	0	0.03827	
Healthy	0	1.31886	0	0		85.92767	0	0	0	0	0	
Healthy	7.9392	0.04188	0	0.26029		55.54238	1.41269	0	0.03569	0	0	
Healthy	28.31108	2.36877	0	0		26.65492	0.06649	0	0.26927	0.49771	0	
Healthy	9.10469	0.07776	0	0		70.48564	0	0	5.7003	0	0	
Healthy	10.1185	0	0	0		56.2617	0	0	0	0	0	
Healthy	14.02014	0.06544	0	0		58.09122	0	0	7.09637	0	0	
Healthy	1.61808	0.1676	0	0.02165		51.67547	0.14201	0	0.84737	0	0	
Healthy	14.94458	0.07492	0	0		40.21055	5.37671	0	0	0	0	
Healthy	25.78823	0.78469	0	0.06551		20.97575	0	0	0.24481	0	0.14777	
Healthy	4.07902	0	0	0		64.56848	0	0	2.9757	0	0.55153	
Healthy	4.98386	0	0	0		69.88918	4.62199	0	6.33312	0	0	
Healthy	0.00499	0.159	1.12472	0		0.04408	0	0	0	0	0	
Healthy	13.93286	0.08584	0	0		58.29294	0.00282	0.95693	0.00077	0	0.02767	
Healthy	0.07505	4.27323	0	0.00065		0.01473	0.10549	0.00118	0	0	0	
Healthy	7.82781	0	0	0		64.8518	0.20528	0.83121	0.01982	0	0.03927	
Healthy	9.91116	0.04178	0	0		41.95701	0	17.199	0.0632	0	1.61864	
Healthy	0.59296	78.76377	0.58176	0		1.9337	0	3.52859	0.02799	0	0	
Healthy	2.61732	0.12255	0	0		68.21432	0.01109	0.39632	0.25346	0	0	
Healthy	2.64427	0	0	0		69.01303	6.30271	0	0.19767	0	0	
Healthy	8.24625	1.87079	0	0.25312		63.27551	0.008	0	0.17411	0	0	
Healthy	0	0	0	0		48.7416	0	0	0	0	0	
