group	Ruminococcaceae	Marinifilaceae	Streptococcaceae	Lactobacillaceae	Pasteurellaceae	Desulfovibrionaceae	Eggerthellaceae	Veillonellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	31.38395	0	0.10367	0	0.20553	0	0	0.52418	0	0	11.94382	0	0.25985	0.27184	0	2.10393	0.10367	0	0	0
Healthy	0.55691	0	0	0	0	0.03142	0	0	0	0	2.68635	11.04018	0	2.0968	3.09629	0.34626	0	0	0	0
Healthy	7.30624	0	0	0	0	0	0	0	0	0	32.47023	0.61666	6.32555	0	1.05966	0	0	0	0	0
Healthy	16.07999	0.39279	0.01797	0.18466	0	0.08154	0.00932	0.00396	0	0	51.48479	5.54226	1.73318	0.09698	0.15532	0.63021	0.01797	0.12328	0.18466	0
Healthy	4.35091	1.30125	0	0	0	0.55816	0.15579	0.46112	0	0	4.28305	16.91879	0.12041	0.02507	1.08183	0.51464	0	0	0	0
Healthy	10.34978	0	0.34649	0	0	0	1.54102	0	0	0	38.09029	4.64923	10.8039	1.49435	1.28148	0	0.34649	0	0	0
Healthy	0.39654	0	0.45334	0	0	0	0	0	0	0	6.73804	0	0	0	0	0	0.45334	0	0	0
Healthy	1.46969	0	0	0	0	0	0	0	0	0	12.91336	0.94071	0	0	0	0	0	0.53907	0	0
Healthy	25.29761	0	0	0	0	0.19041	0.08408	0	0	0	21.6924	9.92768	0.55688	0	0	0.00056	0	0.1903	0	0
Healthy	0.00433	0	0.00532	0.00233	0	0	0.0026	0.03501	0.23549	0.11153	0.0105	0	0	55.0788	0	0	0.00532	0	0.00233	0
Healthy	3.22833	0	0	0	0	0	0	0	0	0	14.063	21.54638	0	0.57325	0	0	0	1.18442	0	0.07552
Healthy	7.11176	0	0.7126	0	0.91179	0	0.00383	0.46493	4.42379	0.00583	41.68406	5.53874	0.24502	0	1.3095	0.06954	0.7126	1.65472	0	0
Healthy	1.23252	0	0	0	0	0	0	0	0	0	11.91339	0.00185	1.96572	33.3132	0.78884	0	0	0.73283	0	0.03296
Healthy	1.69264	0	0.02733	0	0	0	0	0	0	0	26.02128	0.57648	2.58388	5.37164	0.42416	0	0.02733	1.85933	0	0
Healthy	2.88207	2.40498	0.04903	0	0	1.21704	0	0	0	0	3.89694	13.58558	1.49656	0	1.96991	2.99685	0.04903	0.06299	0	0
Healthy	0.76115	0.43982	0.21686	0.12587	0.09139	0	0	0.0235	0	0	57.26534	1.15881	0	0	1.05127	0.03267	0.21686	0	0.12587	0.04616
Healthy	0.10161	0	0	0	0	0	0	0.89971	0	0	2.30841	0	0	1.15581	0	0	0	0	0	0
Healthy	14.5544	0	0.0318	0	0.0471	0	0.00709	0.00247	0	0	64.4011	0.02801	0	0.00483	0	0	0.0318	0.00331	0	0
Healthy	8.48485	1.2285	1.27155	0.24361	0.01153	0.0392	0.2489	0.01516	0.20169	0.01325	11.56562	6.75317	0.33886	26.8642	2.89475	0	1.27155	0.04376	0.24361	0
Healthy	1.79093	1.44785	0	0	0	0.0151	0	0	0	0	1.72941	25.16108	2.00529	0	0	0.7445	0	0	0	0
Healthy	9.8181	0.12029	0.4968	0	0.57161	0	0.00141	0.13564	0.1088	0.00101	46.51861	1.43902	0.01538	0.18994	0.52702	0.06486	0.4968	0.00415	0	0.00196
Healthy	3.42493	0.99503	0.05237	0	0	0.33033	0	0	0	0	3.10588	10.13026	0	0	0.79806	0.11834	0.05237	0.00808	0	0.01366
Healthy	9.96325	0.5255	8.13615	0.00811	0.25338	0.07805	0.01142	0.2242	0.07247	0.02079	25.5392	2.82233	10.99563	1.84899	0.83378	0.20459	8.13615	0.07986	0.00811	0.03313
Healthy	44.3123	0	0	0	0	0	0.89561	0	0	0	12.06107	6.86182	3.49728	0	0	0	0	0	0	0
Healthy	5.07443	1.15652	0.03648	0	0	0.0016	0	0	0	0	0.68422	17.3234	0.10545	0.09832	2.03364	0.0657	0.03648	0.03735	0	0.33205
Healthy	3.78617	0.93643	0	0	0	0.40904	0.06162	0	0	0	18.72938	32.47975	0.35928	0	2.7135	1.07337	0	0.06825	0	0.10525
Healthy	2.97653	0.39453	0.01927	0	0	0.18958	0.06985	0.22665	0.0581	0.00982	5.48461	19.9503	3.61899	9.39904	4.25885	0.08959	0.01927	0.8809	0	0.03318
Healthy	0.80297	0	0.20842	0	0	0.00253	0	0.02526	0	0	1.21892	0	0.39264	0.38656	0	0.11966	0.20842	0.02311	0	0
Healthy	0	0	0.07356	0	0	0.0383	0	0	0	0	11.90134	0	0.04091	2.90482	0	0.07877	0.07356	0	0	0
Healthy	6.18389	2.24413	0.00636	0	0.0422	0.13826	0.03016	0.03051	0	0	6.58367	13.64793	0.63795	0.09232	5.56533	1.39314	0.00636	0.02486	0	0.40654
Healthy	6.07336	1.48008	0.01463	0.00096	0	0.35495	0.05899	0.00921	0.00271	0.00036	3.07898	6.54158	2.62589	5.3394	8.0343	0.03034	0.01463	0.36328	0.00096	0
Healthy	1.69158	1.43627	0	0	0.00402	0.02838	0	0	0	0	1.71238	23.62284	1.97063	0	0	0.70225	0	0	0	0
Healthy	6.1481	0	0.09888	0.65963	0.001	0.37016	0	0.01218	0.08429	0	13.19326	2.21498	0.0976	0.00681	7.4203	0.88008	0.09888	1.03495	0.65963	0.06417
Healthy	1.00071	1.30351	1.60955	0.04058	0	0	0	0	0.08412	0	23.45088	0.42047	0.66502	0	0.11893	0.08336	1.60955	5.33684	0.04058	0
Healthy	14.56236	0	0	0	0	0.05407	0	0	0	0	12.8256	2.76763	3.92368	1.88746	0.59791	1.38138	0	0	0	0.39662
