group	Bacteroidales	Oscillospirales	Actinomycetales	Enterobacterales	Lactobacillales	Selenomonadales	Coriobacteriales	Pseudomonadales	Peptostreptococcales		Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Pseudomonadales	Desulfovibrionales	Peptostreptococcales
Healthy	0.01931	0.25159	90.75306	3.9748	3.59098	0	0.00219	0.57192	0.02357		3.9748	0.00841	3.59098	0	0.02798	0.00219	0	0.57192	0	0.02357
Healthy	92.92764	1.15541	0.11834	0.09795	0	0	0	0	0		0.09795	1.66666	0	0.58962	0	0	0	0	0	0
Healthy	43.38378	2.17255	0	0	0	0	0.11605	0	0		0	0	0	0.11326	0	0.11605	0	0	0.03182	0
Healthy	56.61767	1.07347	0.43511	0	0.25024	0	0.571	0.02363	0		0	0	0.25024	0.26844	0	0.571	0	0.02363	0.01125	0
Healthy	52.15726	11.12191	1.32525	0.08321	0	0	0.14804	0	0		0.08321	1.05654	0	0.51581	0.10518	0.14804	0	0	0.20998	0
Healthy	61.05334	2.31532	0.01689	0	0.00441	0	0.01375	0	0		0	0.01073	0.00441	0.11734	0	0.01375	0	0	0	0
Healthy	70.56182	4.54787	4.34504	0.15123	0.00552	0	0.00226	0	0		0.15123	0.14766	0.00552	0.23778	0	0.00226	0	0	0.07482	0
Healthy	83.56988	1.72019	0.06193	0	0.04713	0	0.13383	0	0		0	0.83505	0.04713	1.5313	0.00711	0.13383	0	0	0	0
Healthy	37.34462	20.95643	0.0216	2.8125	0.04653	0	0.29421	0	0.00354		2.8125	0.00071	0.04653	0	0.02471	0.29421	0	0	0.05661	0.00354
Healthy	20.76636	0.12429	0	0	0	0	0	0	0		0	0	0	0.04874	11.24847	0	0	0	0	0
Healthy	49.42088	7.03706	0.33771	0.08119	2.82676	0	0.26964	0	0		0.08119	0	2.82676	0.46186	1.00134	0.26964	0	0	0.01742	0
Healthy	7.28498	10.26378	1.2613	0	0	0	0.17433	0	0		0	0	0	0.04642	1.13999	0.17433	8.81102	0	0.01529	0
Healthy	3.61561	62.9997	21.2371	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	65.94451	4.74411	0.14666	0	0.04301	0	0.24373	0	0		0	10.5195	0.04301	0.11483	0.03085	0.24373	0.86272	0	0.31288	0
Healthy	77.56292	5.63306	0	0	0	0	0.63218	0	0		0	0	0	0	0.30044	0.63218	0.06803	0	1.50048	0
Healthy	22.77193	6.99823	35.90039	3.85851	0.9221	0	0.4326	0	1.16392		3.85851	0	0.9221	0.0586	0.86835	0.4326	0	0	0	1.16392
Healthy	10.42839	29.68041	0.042	0.00058	0.15545	0	2.46417	0.32517	0		0.00058	6.51919	0.15545	0.09116	2.20829	2.46417	0	0.32517	0.00355	0
Healthy	44.35637	12.88211	0.25052	1.02549	0.75708	0	0.18648	0.0872	0.28618		1.02549	0.00699	0.75708	1.77066	0.12104	0.18648	1.22966	0.0872	0.01117	0.28618
Healthy	50.42891	11.49644	0	0.19515	0	0	0.33473	0	0.05986		0.19515	0	0	0.1002	0	0.33473	0	0	0	0.05986
Healthy	57.9843	5.56944	0	0.81232	0.8025	0	0	0	0		0.81232	0	0.8025	0	1.80524	0	3.19845	0	0	0
Healthy	19.00735	2.67302	0.26781	0.0911	13.96801	0	3.76394	0.42465	0		0.0911	0	13.96801	0.16065	0.05851	3.76394	0	0.42465	0	0
Healthy	0	0.04332	0	4.14218	1.56902	0	0.03904	0.06891	0.01366		4.14218	0	1.56902	0.00158	0.07394	0.03904	0	0.06891	0	0.01366
Healthy	22.0643	8.95456	0.22672	0.92321	0.23032	0	0.13451	0	0.17413		0.92321	0	0.23032	1.67502	0.06035	0.13451	0	0	0	0.17413
