group	Bacteroides_eggerthii	Bacteroides_stercoris	Dialister_invisus	Ruminococcus_B_gnavus	Bacteroides_nordii	Adlercreutzia_equolifaciens	Anaerotruncus_colihominis	Gordonibacter_pamelaeae	Longicatena_innocuum	Eggerthella_lenta	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Anaerobutyricum_hallii_A	Collinsella_sp003487125	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Roseburia_hominis	Dorea_formicigenerans
Healthy	0	0	0	0	0	0	0	0	0	0	1.25286	7.85793	0.31153	0.22602	1.36094	0.59005	0.07929	0.38828	0.0824	0.13667
Healthy	0.01675	0	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.38863	0	0	0	0.1511	0	0	0	0	2.91598	0	0	0.02688	0	0	0.1845	0.1208	6.92984	0.02254
Healthy	0	0	0	0	0	0	0	0	0.02798	0.00219	0	0	0	0	0	0	0	0	0	0
Healthy	0	17.8557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.04479	0	0	0.11605	0	0	0.01772	0	0	0
Healthy	0	0	15.1182	0	0	0	0	0	0	0	3.07213	0	0	0.571	0.02608	0	0.03468	0.0369	0	0.18785
Healthy	0	0.00138	0	0	0	0.00602	0	0	0	0	2.7855	0.06967	0.9071	0.14202	0.58052	0.27043	0.43797	0.57222	0.24143	0.16507
Healthy	0	0.19055	0	0	0	0	0	0	0	0	8.97331	0.07529	0.22621	0.01375	0.47482	0.15252	0.58787	0.1772	0.18861	0.09942
Healthy	0	23.3182	2.88164	0	0.02747	0.00226	0	0	0	0	3.48417	0.96809	0.02999	0	0.04264	0.01423	0	0.03083	0.28334	0
Healthy	1.504	0.00115	0	0.00185	0.00061	0	0	0	0	0	0.796	0.65772	0	0.13383	0	0.08845	0.0951	0.00565	0	0.06279
Healthy	0.01107	3.48591	0	0.0157	0	0	0	0.00348	0.01801	0	12.8683	2.3538	0.42331	0.24	0.08359	0.19765	0.00798	0.29976	0.21896	0.27478
Healthy	0	0	0	0	0	0	0	0	0	0	0.30974	0	0.4936	0	0.30085	0.50109	0	0.13302	0	0.1677
Healthy	0	0	0	0	0.12319	0.03483	0	0	0	0	5.80391	1.63394	0.32437	0.23481	0.30949	0.62476	0.65831	0.42806	0.30483	0.51624
Healthy	0.32132	0	0	0	0	0	0	0	0	0	3.5014	5.97462	0.18274	0.17433	0.36316	0.5826	0.28385	0.21301	0.08077	0.2229
Healthy	0	3.61561	0	0	0	0	0	0	0	0	12.1476	0	0	0	0	0	0	0	0	0
Healthy	0	0.76321	0	0	0	0	0	0	0	0	0.33691	0	0	0.24373	0.04387	0.05664	0.03624	0	0.4006	0
Healthy	0	2.02122	0	0	0	0	0	0	0	0	1.98558	0.00984	0	0.63218	0.37487	0.04993	0.70411	0	0.13046	0.00989
Healthy	0	0	0.19855	0	0	0.0955	0	0	0	0	7.84389	1.33345	1.40782	0.3371	0.28899	0	0.03261	0.2328	0.22397	0.01748
Healthy	0	0	0	0.8993	0	0.40741	0.16946	0.08424	0.04659	0.0022	0.41305	13.6181	3.00802	1.97032	0	0.79959	0.04471	0.31212	6.80466	0
Healthy	0	0	0	0.57964	0.08049	0.15492	0	0.01546	0.00973	0.0161	8.17556	4.71234	0.15216	0	0.89985	0.81399	0.0162	0.99415	0.47076	0
Healthy	0	0	0	0	0	0.01904	0	0	0	0	23.3399	6.0794	0.39885	0.31569	0.41058	0.51643	0.15385	0.12754	0	0.13158
Healthy	0	0.43226	0	0	0	0	0	0	0	0	0.96796	4.21521	0	0	0.07476	0.02666	3.84915	0	0	0
Healthy	0	0	0	0	0	0.51527	0	0	0	0	0	0	5.83452	3.24867	2.01212	0.26241	0.11555	2.84013	4.24778	2.54844
Healthy	0	0	0.05242	27.9887	0	0	0	0	0.0522	0.03904	0	0	0	0	0	0	0.35605	0	0	0
Healthy	0	0	0	16.5662	0	0	0	0	0.00254	0.13451	0	0	0	0	0	0	1.25114	2.43898	0	0
Healthy	0	1.41999	2.97255	0	0	0	0.05211	0	0.00535	0	0	2.11964	0.08323	0.50349	0.06701	0	0.02691	0.13568	0	0.01852
Healthy	0.1129	0	0	0	0	0	0	0	0	0	2.0672	1.28553	0.86242	2.27129	0.19451	0	0.36132	0.40834	1.83299	0.79977
Healthy	0	0.0127	0	0.0303	0.02252	0.11806	0	0	0	0	0.02483	0	0.27006	0	0.08633	0.33604	1.07663	0.23099	0	0.17601
Healthy	1.2508	2.22179	12.9858	0	0	0	0	0	0	0	0	5.52631	0.02937	1.0791	0.05055	2.12341	0.99917	0	0	0
Healthy	0	1.05686	0	0	0	0	0.03246	0	0.00403	0.00776	0.12807	0.00231	3.90154	4.32512	3.12286	0.98779	0.50233	1.28674	4.06751	1.05475
Healthy	0	2.80913	2.60171	0	0	0	0	0.14118	0.00584	0.01097	0	1.95838	0	1.19682	0	0	0.00737	0.15075	0	0
Healthy	0	0.73478	0	0	0	0	0	0	0	0	0.33764	0	0	0.28366	0.04111	0.09443	0.08777	0	0.47414	0
Healthy	0	1.08373	5.94604	0	0	0.04004	0	0	0	0	1.35048	0.07926	0.48446	0.7939	0.26654	0.36895	0.20555	0.20733	0.51481	0.22893
Healthy	0	0	5.89113	0.55343	0	0.00233	0	0	0	0	0.81193	0	0	0	0.01072	0	0	0	0	0.00637
Healthy	0	0	17.7048	0.00856	0	0	0.20305	0.02894	0	0	3.22329	4.46956	0.07101	0.67999	0.07853	0.07025	0.1428	0.08157	0.32161	0.01205
Healthy	0	0.01236	0	0	0.01122	0.00077	0	0	0	0	0.68407	0.09014	0.36709	0.05868	0.4664	0.7908	0.18777	0.25761	0.17255	0.36276
Healthy	0.09981	0	5.0839	0	0	0	0	0	0	0	9.75385	11.7396	2.07775	1.71217	0.66465	2.37879	0.4069	0.53567	0	0
