group	Bacteroidaceae	Ruminococcaceae	Bifidobacteriaceae	Enterobacteriaceae	Selenomonadaceae	Streptococcaceae	Pasteurellaceae	Peptostreptococcaceae	Veillonellaceae	Micrococcaceae	Burkholderiaceae	Streptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	14.09378	17.86356	5.45267	0.03375	0	0.27012	0.12773	0.25	0.0363	0.04553	0.08772	0.27012	4.32512	0	1.14247	3.67433	0.0363	0.12773	0	0.25
Healthy	9.11642	3.93808	0.0103	10.2181	0	0	0	0	0	0	0.28406	0	1.19682	0	0.13551	0	0	0	0	0
Healthy	53.17229	3.3535	0.13383	0	0	0.05589	0	0	0	0	0.09557	0.05589	0.28366	0.80514	0.0128	0	0	0	0	0
Healthy	31.38157	17.47799	2.43475	0.06381	0.03243	0.45117	0	0	0	0	2.51045	0.45117	0.7939	0	0.40667	0	0	0	0	0
Healthy	54.35535	1.67666	0.27682	0.06157	0	0	0	0	0	0	0.11666	0	0	0	0.02247	0	0	0	0	0
Healthy	29.52946	1.132	5.34259	0	0	0	0	0.00258	0.02424	0	0.27735	0	0.67999	0	0.17455	0	0.02424	0	0	0.00258
Healthy	27.07981	3.44451	0.1995	0	0	0.01403	0.0175	0	0.00465	0	0.00491	0.01403	0.05868	0	1.34329	3.85188	0.00465	0.0175	0	0
Healthy	16.90852	18.91641	5.93464	0	0	0	0	0.92052	0	0	0	0	1.71217	0	0	0	0	0	0	0.92052
Healthy	39.98426	0.23802	0	0	0	0	0	0	0	0	0	0	0	2.18475	1.12109	0.83359	0	0	0.00794	0
Healthy	51.95529	1.42733	0.92934	0	0.00475	0	0	0	0	0	0.17416	0	0.20882	0	0.04651	0	0	0	0	0
Healthy	92.81289	1.45529	0	4.2841	0	0.01292	0	0	0	0	0	0.01292	0	0	0	0	0	0	0	0
Healthy	33.16603	11.38099	0.61728	0	0	0.34776	0.01667	0	0	0	2.54517	0.34776	0.12154	0.00113	0.14758	0	0	0.01667	0.01283	0
Healthy	51.54426	31.38395	0.01142	0.27184	0	0.10367	0.20553	0	0.52418	0	2.10393	0.10367	0	0	0	0	0.52418	0.20553	0	0
Healthy	36.08333	0.55691	0	2.0968	0	0	0	0	0	0	0.34626	0	0	0	0	0	0	0	0	0
Healthy	24.83972	7.30624	10.94462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	6.66863	16.07999	0.53641	0.09698	0	0.01797	0	0	0.00396	0	0.63021	0.01797	0.15766	1.31009	0.12328	1.22303	0.00396	0	0.18466	0
Healthy	26.98137	4.35091	0.49856	0.02507	0	0	0	0	0.46112	0	0.51464	0	0.09721	0	0	0	0.46112	0	0	0
Healthy	14.8924	10.34978	0.40697	1.49435	0	0.34649	0	0	0	0	0	0.34649	0	1.07483	0	0	0	0	0	0
Healthy	0.35748	0.39654	25.6546	0	0	0.45334	0	0	0	0	0	0.45334	1.31584	0	0	0	0	0	0	0
Healthy	30.08327	1.46969	0	0	0	0	0	0	0	0	0	0	0	0	0.53907	0	0	0	0	0
Healthy	9.97773	25.29761	0.19456	0	0	0	0	0	0	0	0.00056	0	3.60873	0	0.1903	0	0	0	0	0
Healthy	19.51684	0.00433	7.07153	55.0788	0	0.00532	0	0.23549	0.03501	0.11153	0	0.00532	0	0	0	0	0.03501	0	0.00233	0.23549
Healthy	15.59111	3.22833	10.5799	0.57325	0	0	0	0	0	0	0	0	0.78351	0.01608	1.18442	0	0	0	0	0
Healthy	20.84947	7.11176	0.58348	0	0	0.7126	0.91179	4.42379	0.46493	0.00583	0.06954	0.7126	0.41707	0	1.65472	0	0.46493	0.91179	0	4.42379
Healthy	32.40716	1.23252	0	33.3132	0	0	0	0	0	0	0	0	0.00433	0	0.73283	0	0	0	0	0
Healthy	34.49539	1.69264	0.13293	5.37164	0	0.02733	0	0	0	0	0	0.02733	0	0	1.85933	0	0	0	0	0
Healthy	47.92944	2.88207	0.74931	0	0	0.04903	0	0	0	0	2.99685	0.04903	0.64273	0	0.06299	0.11073	0	0	0	0
Healthy	23.88824	0.76115	0	0	0	0.21686	0.09139	0	0.0235	0	0.03267	0.21686	0	0	0	0	0.0235	0.09139	0.12587	0
Healthy	65.70584	0.10161	0.1845	1.15581	0	0	0	0	0.89971	0	0	0	0	0	0	0	0.89971	0	0	0
Healthy	7.7264	14.5544	0.0008	0.00483	0	0.0318	0.0471	0	0.00247	0	0	0.0318	0.46959	0.00015	0.00331	0.02077	0.00247	0.0471	0	0
Healthy	14.2738	8.48485	2.76523	26.8642	0	1.27155	0.01153	0.20169	0.01516	0.01325	0	1.27155	0.8622	0	0.04376	0	0.01516	0.01153	0.24361	0.20169
Healthy	43.115	1.79093	1.21132	0	0	0	0	0	0	0	0.7445	0	0.1628	0	0	0.00174	0	0	0	0
