group	Phocaeicola	Enterocloster	Dialister	Veillonella	Ruminococcus_B	Faecalimonas	Clostridium_Q	Flavonifractor	Muricomes	Longicatena	Alistipes	Ruminococcus_H	Lachnospira	Barnesiella	Coprococcus	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	17.95731	0.14405	1.21706	0	0.01544	0	0	0.06861	0	0	10.80823	0.48557	3.1851	1.35632	0	0	0.06861	0	0.15632	0.00714
Healthy	20.8163	0.45248	0.62783	0.52418	0.00425	0	0.40084	0.2382	0.14875	0	0	0	0.22327	0	0	0	0.2382	0	0	0
Healthy	0	1.99695	0	0	0	0	0.63302	0.2224	0	0	10.77377	0	0	3.09629	0	0	0.2224	0.26641	0	0
Healthy	17.71324	0.07968	5.62249	0	0	0	0	0	0	0	0.61666	6.32555	1.22114	1.05966	0	0	0	0	0	0
Healthy	1.35581	0.36575	0	0.00396	0	0	0	0.07061	0	0	5.5241	1.72462	2.277	0.15532	0	0.18137	0.07061	0.01816	0.16394	0.00932
Healthy	5.60462	0	0	0.46112	0	0	0	0	0	0	16.91407	0.12041	0.01957	1.08183	0	0	0	0.00472	0	0.15579
Healthy	2.14329	2.0934	0	0	0	0	0	0	0	0	4.64923	10.8039	2.92155	1.28148	0	0.11191	0	0	0.49605	1.41636
Healthy	0	0	0	0	6.73804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.14842	0	0	0.05485	0	0.15742	0.01016	0.03884	0	0.94071	0	10.1209	0	0	0	0.01016	0	0	0
Healthy	0.30053	1.267	0	0	0.03057	0	0.00845	0.03172	0.00592	0.00069	9.92768	0	0	0	0	0	0.03172	0	0	0.04992
Healthy	7.32995	0	0	0.03501	0.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.89123	1.22495	0	0	0	0	0	0	0	0	21.54638	0	0	0	2.98165	0	0	0	0	0
Healthy	9.34139	5.10983	0	0.46493	0	0.71715	0	0	0	0	5.53874	0.24502	4.40925	1.3095	0	0.20726	0	0	0.85949	0.00383
Healthy	14.74048	0.4649	0	0	0	0	0	0.04376	0	0	0.00185	1.96572	0	0.78884	0	0	0.04376	0	0.00888	0
Healthy	20.76592	0.27615	0	0	0	0	0	0	0.35918	0	0.57648	2.58388	0.65103	0.42416	0	2.44739	0	0	0.12536	0
Healthy	2.82361	0.6479	0	0	0	0	0	0.09056	0	0	11.64109	1.49656	0.76122	1.96991	0	0.00825	0.09056	1.94449	0	0
Healthy	7.92447	0.33257	0.36575	0.0235	0	0	0	0	0	0	1.15881	0	3.11006	1.05127	0.00147	0.21268	0	0	0.09282	0
D003424	0.79126	1.93923	6.86308	0	17.7477	3.10534	1.40001	0.45053	0.00106	0.00256	1.82316	1.51559	0	0.66653	0	0	0.45053	0	0	0
